<|DEU|>ab	a p
<|SWE|>inga	 ɪ ŋ a
<|SWE|>ingenting	ɪ ŋ ɛ n tʰ ɪ ŋ
<|SWE|>inger	 ɪ n j eː r
<|SWE|>innan	 ɪ n a n
<|SWE|>insjukna	 ɪ n ɧ ʉː k n a
<|SWE|>inte	 ɪ n t ɛ
<|SWE|>internationell	ɪ n t ɛ r n a t ɧ ʊ n ɛ l
<|SWE|>intryck	ɪ n t r ʏ kː
<|SWE|>is	iː s
<|SWE|>italien	ɪ t ɒː l ɪ ə n
<|SWE|>jag	j ɑː ɡ
<|SWE|>januari	j a n ɵ ɑː r ɪ
<|SWE|>japanska	j a p ɑː n s k a
<|SWE|>jasmine	ɧ a s m iː n
<|SWE|>jason	j ɑː s ɔ n
<|SWE|>jennie	¹ j ɛ n ɪ
<|SWE|>jonsson	j ʊ n s ɔ n
<|SWE|>jonte	 j ɔ n t ɛ
<|SWE|>jord	j uː r d
<|SWE|>jorden	j uː r d ɛ n
<|SWE|>journal	ɧ ʊ ɳ ɑː l
<|SWE|>journalist	ɧ ʊ r n a l ɪ s t
<|SWE|>juice	j uː s
<|SWE|>jul	j ʉː l
<|SWE|>juli	j ʉː l ɪ
<|SWE|>juni	j ʉː n ɪ
<|SWE|>jupiter	j ʉː p ɪ t ɛ r
<|SWE|>järv	j æ r v
<|SWE|>kajak	k a j ɑː k
<|SWE|>kalifornien	k a l ɪ f uː r n ɪ ɛ n
<|SWE|>kall	k a l
<|SWE|>kalla	 k a lː a
<|SWE|>kalle	 k a l ɛ
<|SWE|>kamera	k ɑː m ɛ r a
<|SWE|>kan	k a nː
<|SWE|>kanske	 k a n ɧ ɛ
<|SWE|>karta	k ɑː r t a
<|SWE|>katarina	k a t a ² r iː n a
<|SWE|>katt	k a tː
<|SWE|>kemi	ɕ ɛ m iː
<|SWE|>kil	ɕ iː l
<|SWE|>kilometer	ɕ ɪ l ʊ m eː t ɛ r
<|SWE|>kina	 ɕ iː n a
<|SWE|>kläder	k l ɛː d ɛ r
<|SWE|>knarka	k n a r k a
<|SWE|>kniv	k n iː v
<|SWE|>knut	k n ʉː t
<|SWE|>knä	k n ɛː
<|SWE|>kol	k oː l
<|SWE|>kolla	k ɔ l a
<|SWE|>kom	k ɔ m
<|SWE|>komma	 k ɔ m a
<|SWE|>kompis	¹ k ɔ m p ɪ s
<|SWE|>konspirationsteoretiker	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r eː t ɪ k ɛ r
<|SWE|>konspirationsteori	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r iː
<|SWE|>konst	k ɔ nː s t
<|SWE|>konsumtion	k ɔ n s ɵ m ɧ uː n
<|SWE|>kontrast	k ʊ n t r a s t
<|SWE|>kor	k uː r
<|SWE|>kraftfull	k r a f t f ɵ l
<|SWE|>krav	k ɾ ɑː v
<|SWE|>krig	k r iː ɡ
<|SWE|>kristina	k r ɪ ² s t iː n a
<|SWE|>krona	k r uː n a
<|SWE|>kropp	k r ɔ pː
<|SWE|>krut	k r ʉː t
<|SWE|>kul	k ʉː l
<|SWE|>kull	k ɵ l
<|SWE|>kunde	k ɵ n d ə
<|SWE|>kungsfiskare	k ɵ ŋ s f ɪ s k a r ɛ
<|SWE|>kurs	k ʉː r s
<|SWE|>kvalitet	k v a l ɪ t eː
<|SWE|>kvar	k v ɑː r
<|SWE|>kvarter	k v a r t eː r
<|SWE|>kvinna	k v ɪ nː a
<|SWE|>kvinnan	k v ɪ nː a n
<|SWE|>kvinnor	k v ɪ nː ʊ r
<|SWE|>kväll	k v ɛ lː
<|SWE|>käka	 ɕ ɛː k a
<|SWE|>källa	ɕ ɛ l a
<|SWE|>känd	ɕ ɛ n d
<|SWE|>känna	ɕ ɛ n n a
<|SWE|>känt	ɕ ɛ n t
<|SWE|>kär	ɕ ɛː r
<|SWE|>kära	ɕ ɛː r a
<|SWE|>kärlek	ɕ ɛː r l eː k
<|SWE|>kål	k oː l
<|SWE|>kår	k oː r
<|SWE|>kö	k øː
<|SWE|>kök	ɕ øː k
<|SWE|>köl	ɕ øː l
<|SWE|>köp	ɕ øː p
<|SWE|>köpa	ɕ øː p a
<|SWE|>köpenhamn	ɕ øː p ɛ n h a m n
<|SWE|>laboratorium	l a b ʊ r a t uː r ɪ ɵ m
<|SWE|>lade	l ɑː d ɛ
<|SWE|>lag	l ɑː ɡ
<|SWE|>lager	l ɑː ɡ ɛ r
<|SWE|>lagt	l a k t
<|SWE|>lagts	l a k t s
<|SWE|>lappuggla	l a p ɵ ɡ l a
<|SWE|>lax	l a k s
<|SWE|>leende	l eː ɛ n d ɛ
<|SWE|>legitim	l ɛ ɡ ɪ t iː m
<|SWE|>leif	l ɛ j f
<|SWE|>lev	l eː v
<|SWE|>linnéa	l ɪ ² n eː a
<|SWE|>lita	l iː t a
<|SWE|>liv	l iː v
<|SWE|>ljud	j ʉː d
<|SWE|>ljungby	 j ɵ ŋ b ʏ
<|SWE|>ljus	j ʉː s
<|SWE|>london	l ɔ n d ɔ n
<|SWE|>lopp	l ɔ pː
<|SWE|>lugn	l ɵ ŋ n
<|SWE|>lunch	l ɵ n ɧ
<|SWE|>lund	l ɵ n d
<|SWE|>lycklig	l ʏ kː l ɪ ɡ
<|SWE|>lyssna	 l ʏ s n a
<|SWE|>läcka	l ɛ k a
<|SWE|>läger	l ɛː ɡ ɛ r
<|SWE|>lägga	 l ɛ ɡ a
<|SWE|>län	l ɛː n
<|SWE|>länge	l ɛ ŋ ɛ
<|SWE|>längs	l ɛ ŋ s
<|SWE|>lär	l ɛː r
<|SWE|>lära	l æː r a
<|SWE|>läs	l ɛː s
<|SWE|>läsa	l ɛː s a
<|SWE|>läser	l ɛ s ɛ r
<|SWE|>lätt	l ɛ t
<|SWE|>låg	l oː ɡ
<|SWE|>långsam	 l ɔ ŋ s a m
<|SWE|>långt	l ɔ ŋ t
<|SWE|>låt	l oː t
<|SWE|>låta	 l oː t a
<|SWE|>lön	l øː n
<|SWE|>löpa	l øː p a
<|SWE|>lördag	l øː r d ɑː ɡ
<|SWE|>lös	l øː s
<|SWE|>lösa	 l øː s a
<|SWE|>mage	 m ɑː ɡ ɛ
<|SWE|>magnus	¹ m a ŋ n ɵ s
<|SWE|>maj	m a j
<|SWE|>malmö	m a l m øː
<|SWE|>malte	 m a l t ɛ
<|SWE|>mannen	m a nː ɛ n
<|SWE|>margareta	m a r ɡ a ² r eː t a
<|SWE|>marika	m a ² r iː k a
<|SWE|>maskin	m a ɧ iː n
<|SWE|>mat	m ɑː t
<|SWE|>matchfixning	 m a t͡ɕ f ɪ k s n ɪ ŋ
<|SWE|>mattias	m a t iː a s
<|SWE|>medarbetare	m eː d a r b eː t a r ɛ
<|SWE|>meddela	m eː d d e l a
<|SWE|>meddelande	m eː d d eː l a n d ɛ
<|SWE|>meny	m ɛ n yː
<|SWE|>mer	m eː r
<|SWE|>meter	m eː t ɛ r
<|SWE|>mikael	m iː k aː e l
<|SWE|>miljard	m ɪ l j ɑː ɖ
<|SWE|>miljon	m ɪ l j uː n
<|SWE|>miljö	m ɪ l j øː
<|SWE|>min	m iː n
<|SWE|>mitt	m ɪ tː
<|SWE|>mittemot	m ɪ tˑ e m uː t
<|SWE|>mod	m uː d
<|SWE|>mor	m uː r
<|SWE|>morse	 m ɔ r s e
<|SWE|>moskva	m ʊ s k v ɑː
<|SWE|>mot	m uː t
<|SWE|>museer	m ɵ s eː ɛ r
<|SWE|>museum	m ɵ s eː ɵ m
<|SWE|>musik	m ʉ s iː k
<|SWE|>mycket	m ʏ k ɛ t
<|SWE|>mystisk	m ʏ s t ɪ s k
<|SWE|>mäktig	 m ɛ k t ɪ ɡ
<|SWE|>män	m ɛ n
<|SWE|>människa	m ɛ nː ɪ ɧ a
<|SWE|>mänsklig	 m ɛ n s k l ɪ ɡ
<|SWE|>mästerskap	 m ɛ s t e r s k ɑː p
<|SWE|>mäta	m ɛː t a
<|SWE|>mål	m oː l
<|SWE|>mög	m øː ɡ
<|SWE|>möjlig	 m œ j l ɪ ɡ
<|SWE|>mötesplats	 m øː t ɛ s p l a t s
<|SWE|>nacka	 n a k a
<|SWE|>nationell	n a t ɧ ʊ n ɛ l
<|SWE|>natt	n a tː
<|SWE|>nederländerna	 n e d ɛ r l ɛ n d ɛ ɲ a
<|SWE|>nej	n ɛ j
<|SWE|>nellie	¹ n ɛ l ɪ
<|SWE|>ner	n eː r
<|SWE|>nobben	n ɔ b ɛ n
<|SWE|>nordkorea	 n uː ɖ k ʊ r eː a
<|SWE|>norge	n ɔ r j ɛ
<|SWE|>norr	n ɔ rː
<|SWE|>norska	 n ɔ ʂ k a
<|SWE|>not	n uː t
<|SWE|>november	n ʊ v ɛ m b ɛ r
<|SWE|>nummer	¹ n ɵ m ɛ r
<|SWE|>ny	n yː
<|SWE|>nya	 n yː a
<|SWE|>nyckel	 n ʏ k ɛ l
<|SWE|>nyss	n ʏ s
<|SWE|>nyttig	 n ʏ t ɪ ɡ
<|SWE|>näsa	n ɛː s a
<|SWE|>nätter	n ɛ tː ə r
<|SWE|>nå	n oː
<|SWE|>nått	n ɔ t
<|SWE|>nödvändig	n øː d v ɛ n d ɪ ɡ
<|SWE|>objekt	ɔ b j ɛ k t
<|SWE|>offside	ɔ f s a j d
<|SWE|>ogilla	 uː j ɪ l a
<|SWE|>oklar	uː k l ɑː r
<|SWE|>om	ɔ m
<|SWE|>omöjlig	 uː m ø j l ɪ ɡ
<|SWE|>ord	uː r d
<|SWE|>order	ɔ r d ɛ r
<|SWE|>ordning	ɔ r d n ɪ ŋ
<|SWE|>orientering	ɔ r j ɛ n ¹ t eː r ɪ ŋ
<|SWE|>orka	ɔ r k a
<|SWE|>oskar	¹ ɔ s k a r
<|SWE|>oss	ɔ s
<|SWE|>osäker	uː s ɛː k ɛ r
<|SWE|>paket	p a k eː t
<|SWE|>papper	 p a pː ɛ r
<|SWE|>paris	p a r iː s
<|SWE|>part	p ɑː ʈ
<|SWE|>passagerare	p a s a ² ɧ eː r a r ɛ
<|SWE|>paus	p a ʊ̯ s
<|SWE|>pension	p a n ɧ uː n
<|SWE|>pep	p eː p
<|SWE|>period	p ɛ rː j uː d
<|SWE|>person	p ɛ r s uː n
<|SWE|>personlig	p ɛ ʂ oː n l ɪ ɡ
<|SWE|>personligen	p ɛ r s uː n l ɪ ɡ ɛ n
<|SWE|>piper	p iː p ɛ r
<|SWE|>platt	p l a tː
<|SWE|>podd	p ɔ d
<|SWE|>pojke	 p ɔ j k ɛ
<|SWE|>pokal	p ʊ k ɑː l
<|SWE|>politik	p ʊ l ɪ t iː k
<|SWE|>prata	p r ɑː t a
<|SWE|>present	p r e s e n t
<|SWE|>pressmeddelande	 p r ɛ s m eː d eː l a n d ɛ
<|SWE|>princip	p r ɪ n s iː p
<|SWE|>pris	p r iː s
<|SWE|>problem	p r ʊ b l eː m
<|SWE|>procent	p r ʊ s ɛ n t
<|SWE|>process	p r ʊ s ɛ s
<|SWE|>prognos	p r ɔ ɡ n oː s
<|SWE|>pröva	p r øː v a
<|SWE|>punkt	p ɵ ŋ k t
<|SWE|>på	p oː
<|SWE|>regering	r ɛ j eː r ɪ ŋ
<|SWE|>regissör	r ɛ ɧ ɪ s øː r
<|SWE|>regn	r ɛ ŋ n
<|SWE|>rejäl	r ɛ j ɛː l
<|SWE|>reklam	r ɛ k l ɑː m
<|SWE|>relation	r ɛ l a ɧ uː n
<|SWE|>religiös	r ɛ l ɪ ɧ øː s
<|SWE|>rent	r eː n t
<|SWE|>resultat	r ɛ s ɵ l t ɑː t
<|SWE|>rik	r iː k
<|SWE|>rulle	 r ɵ l ɛ
<|SWE|>rum	r ɵ m
<|SWE|>ryska	 r ʏ s k a
<|SWE|>ryttare	r ʏ t a r e
<|SWE|>rå	r oː
<|SWE|>råd	r oː d
<|SWE|>rån	r oː n
<|SWE|>rökning	 r øː k n ɪ ŋ
<|SWE|>sabotage	s a b ʊ t ɑː ɧ
<|SWE|>sade	s ɑː d ɛ
<|SWE|>sagt	s a k t
<|SWE|>sak	s ɑː k
<|SWE|>sakna	s ɑː k n a
<|SWE|>samling	 s a m l ɪ ŋ
<|SWE|>samt	s a m t
<|SWE|>schack	ɧ a k
<|SWE|>schlager	ɧ l ɑː ɡ e r
<|SWE|>schweiz	ʂ v ɛ jː t s
<|SWE|>seg	s eː ɡ
<|SWE|>seger	s eː ɡ ɛ r
<|SWE|>semester	s ɛ m ɛ s t ɛ r
<|SWE|>sent	s eː n t
<|SWE|>september	s ɛ p t ɛ m b ɛ r
<|SWE|>sevilla	s ɛ v iː a
<|SWE|>silver	s ɪ l v ɛ r
<|SWE|>simma	 s ɪ m a
<|SWE|>sitt	s ɪ tː
<|SWE|>sitta	 s ɪ t a
<|SWE|>sju	ɧ ʉː
<|SWE|>sjuda	ɧ ʉː d a
<|SWE|>sjuk	ɧ ʉː k
<|SWE|>sjuka	 ɧ ʉː k a
<|SWE|>sjukdom	 ɧ ʉː k d ʊ m
<|SWE|>sjukhus	 ɧ ʉː k h ʉː s
<|SWE|>sjuksköterska	 ɧ ʉː k ɧ øː t ɛ r s k a
<|SWE|>sjunde	ɧ ɵ n d ɛ
<|SWE|>sjunga	 ɧ ɵ ŋ a
<|SWE|>sjutton	ɧ ɵ t ɔ n
<|SWE|>själ	ɧ ɛː l
<|SWE|>självklar	 ɧ ɛ l v k l ɑː r
<|SWE|>sjätte	ɧ ɛ t ɛ
<|SWE|>sjön	ɧ œ n
<|SWE|>skapa	s k ɑː p a
<|SWE|>ske	ɧ eː
<|SWE|>skicka	ɧ ɪ k a
<|SWE|>skilja	 ɧ ɪ l j a
<|SWE|>skillnad	ɧ ɪ l n a d
<|SWE|>skit	ɧ iː t
<|SWE|>skjuta	 ɧ ʉː t a
<|SWE|>skola	 s k uː l a
<|SWE|>skottland	s k ɔ t l a n d
<|SWE|>skrik	s k r iː k
<|SWE|>skriva	s k r iː v a
<|SWE|>skulle	s k ɵ lː ə
<|SWE|>skydd	ɧ ʏ d
<|SWE|>skyhög	ɧ ỳː h øː ɡ
<|SWE|>skytt	ɧ ʏ t
<|SWE|>skäl	ɧ ɛː l
<|SWE|>skämt	ɧ ɛ m t
<|SWE|>skänka	 ɧ ɛ ŋ k a
<|SWE|>skära	ɧ æː r a
<|SWE|>skärpa	 ɧ æ r p a
<|SWE|>sköld	ɧ œ l d
<|SWE|>skön	ɧ øː n
<|SWE|>slagsmål	s l a k s m oː l
<|SWE|>slog	s l uː ɡ
<|SWE|>släkt	s l ɛ k t
<|SWE|>slät	s l ɛː t
<|SWE|>slå	s l oː
<|SWE|>små	s m oː
<|SWE|>snabb	s n a b
<|SWE|>snabbt	s n a p t
<|SWE|>snacka	 s n a kː a
<|SWE|>snart	s n ɑː ʈ
<|SWE|>snälla	s n ɛ lː a
<|SWE|>snö	s n øː
<|SWE|>solna	 s oː l n a
<|SWE|>som	s ɔ m
<|SWE|>sommar	s ɔ mː a r
<|SWE|>sommartid	s ɔ m a r t iː d
<|SWE|>somras	 s ɔ m r a s
<|SWE|>soppa	s ɔ p a
<|SWE|>sorg	s ɔ r j
<|SWE|>sova	 s oː v a
<|SWE|>spanska	 s p a n s k a
<|SWE|>spara	s p ɑː r a
<|SWE|>spel	s p eː l
<|SWE|>spelar	s p eː l a r
<|SWE|>språk	s p r oː k
<|SWE|>stab	s t ɑː b
<|SWE|>stadig	s t ɑː d ɪ ɡ
<|SWE|>stal	s t ɑː l
<|SWE|>stel	s t eː l
<|SWE|>stjäl	ɧ ɛː l
<|SWE|>stjäla	ɧ ɛː l a
<|SWE|>storm	s t ɔ r m
<|SWE|>student	s t ɵ d ɛ n t
<|SWE|>stuga	 s t ʉ̟ː ɡ a
<|SWE|>stulit	s t ʉː l ɪ t
<|SWE|>ställningstagande	 s t ɛ l n ɪ ŋ s t ɑː ɡ a n d ɛ
<|SWE|>stål	s t oː l
<|SWE|>stöd	s t øː d
<|SWE|>störa	 s t œː r a
<|SWE|>sundsvall	s ɵ nː d s v a l
<|SWE|>svag	s v ɑː ɡ
<|SWE|>svar	s v ɑː r
<|SWE|>svara	s v ɑː r a
<|SWE|>svart	¹ s v a r t
<|SWE|>svensk	s v ɛ nː s k
<|SWE|>svenska	 s v ɛ n s k a
<|SWE|>sverige	¹ s v ɛ r j ɛ
<|SWE|>svåger	s v oː ɡ ə r
<|SWE|>syd	s yː d
<|SWE|>sydkorea	 s yː d k ʊ r eː a
<|SWE|>syl	s yː l
<|SWE|>syra	s yː r a
<|SWE|>syster	s ʏ sː t ɛ r
<|SWE|>säga	s ɛ jː a
<|SWE|>sälja	s ɛ lː j a
<|SWE|>särskild	 s ɛː r ɧ ɪ l d
<|SWE|>sätt	s ɛ tː
<|SWE|>så	s oː
<|SWE|>sång	s ɔ ŋː
<|SWE|>söder	s øː d ə r
<|SWE|>södertälje	s œ d ɛ ʈ ɛ lː j ɛ
<|SWE|>tack	t a k
<|SWE|>tag	t ɑː ɡ
<|SWE|>tak	t ɑː k
<|SWE|>tanke	 t a ŋː k ɛ
<|SWE|>teori	t ɛ ʊ r iː
<|SWE|>therese	t ɛ r eː s
<|SWE|>thunberg	t ʉ̂ː n b æ r j
<|SWE|>tid	t iː d
<|SWE|>tidning	 t iː n ɪ ŋ
<|SWE|>tiger	¹ t iː ɡ ɛ r
<|SWE|>till	t ɪ l
<|SWE|>tillbaka	t ɪ l b ɑː k a
<|SWE|>tillförordnad	 t ɪ l f œː r oː r d n a d
<|SWE|>tillhandahålla	t ɪ l ² h a n d a h ɔ l a
<|SWE|>tionde	t iː ɔ n d ɛ
<|SWE|>tjej	ɕ ɛ j
<|SWE|>tobak	t uː b a k
<|SWE|>tofflor	t ɔ f l ʊ ɹ
<|SWE|>tog	t uː ɡ
<|SWE|>tok	t uː k
<|SWE|>tolfte	t ɔ l f t ɛ
<|SWE|>tolv	t ɔ l v
<|SWE|>tor	t uː r
<|SWE|>torg	t ɔ r j
<|SWE|>total	t ʊ t ɑː l
<|SWE|>tredje	t r eː d j ɛ
<|SWE|>tro	t r uː
<|SWE|>tror	t r uː r
<|SWE|>trä	t r ɛː
<|SWE|>träd	t r ɛː d
<|SWE|>tråd	t r oː d
<|SWE|>tuff	t ɵ f
<|SWE|>tusen	t ʉː s ɛ n
<|SWE|>tvivla	t v iː v l a
<|SWE|>tvärtom	t v ɛː ʈ ɔ m
<|SWE|>två	t v oː
<|SWE|>tycka	t ʏ k a
<|SWE|>tyska	 t ʏ s k a
<|SWE|>tyskland	t ʏ s k l a n d
<|SWE|>tyst	t ʏ sː t
<|SWE|>täcke	 t ɛ kː ɛ
<|SWE|>täckt	t ɛ k t
<|SWE|>tända	 t ɛ n d a
<|SWE|>tänkte	t ɛ ŋ k t ɛ
<|SWE|>tå	t oː
<|SWE|>tåg	t oː ɡ
<|SWE|>ugn	ɵ ŋ n
<|SWE|>ukulele	ɵ k ɵ l eː l ɛ
<|SWE|>ulla	 ɵ l a
<|SWE|>under	ɵ n d ɛ r
<|SWE|>universitet	ɵ n ɪ v ɛ ʂ ɪ t eː t
<|SWE|>upp	ɵ p
<|SWE|>uppträda	ɵ pː t r ɛː d a
<|SWE|>uppvisning	 ɵ p v iː s n ɪ ŋ
<|SWE|>ur	ʉː r
<|SWE|>ut	ʉː t
<|SWE|>utan	ʉː t a n
<|SWE|>utgång	ʉː t ɡ ɔ ŋ
<|SWE|>utom	 ʉ̟ː t ɔ m
<|SWE|>uttryck	ʉː t t r ʏ kː
<|SWE|>vaccin	v a k s iː n
<|SWE|>vacker	v a k ɛ r
<|SWE|>vandrare	v a n d r a r ɛ
<|SWE|>vann	v a n
<|SWE|>vapen	¹ v ɑː p ɛ n
<|SWE|>var	v ɑː ɾ
<|SWE|>varandra	v a r a n d r a
<|SWE|>varg	v a r j
<|SWE|>varken	v a r k ɛ n
<|SWE|>varm	v a r m
<|SWE|>varmt	v a r m t
<|SWE|>vasa	v a s ɑː
<|SWE|>vass	v a s
<|SWE|>vatten	v ǎ t ɛ n
<|SWE|>vattnet	v a tː n ɛ t
<|SWE|>vecka	 v ɛ k a
<|SWE|>verk	v æ r k
<|SWE|>verka	v ɛ r k a
<|SWE|>veta	 v eː t a
<|SWE|>vikt	v iː k t
<|SWE|>vilja	 v ɪ lː j a
<|SWE|>vill	v ɪ l
<|SWE|>ville	v ɪ lː ɛ
<|SWE|>vind	v ɪ n d
<|SWE|>vinter	v ɪ n t ɛ r
<|SWE|>vintertid	v ɪ n t ɛ r t iː d
<|SWE|>vintras	 v ɪ n t r a s
<|SWE|>vit	v iː t
<|SWE|>vred	v r eː d
<|SWE|>vuxen	v ɵ k s ɛ n
<|SWE|>väcka	 v ɛ k a
<|SWE|>väg	v ɛː ɡ
<|SWE|>vägg	v ɛ ɡ
<|SWE|>vägra	 v ɛː ɡ r a
<|SWE|>välja	 v ɛ lː j a
<|SWE|>välkommen	 v ɛː l k ɔ mː ɛ n
<|SWE|>vänta	 v ɛ nː t a
<|SWE|>väntan	 v ɛ n t a n
<|SWE|>värd	v ɛː ɖ
<|SWE|>värden	v æː ɖ ɛ n
<|SWE|>värdighet	 v ɛː r d ɪ ɡ h eː t
<|SWE|>världens	v æː ɖ ɛ n s
<|SWE|>värva	 v æ r v a
<|SWE|>väster	v ɛ sː t ə r
<|SWE|>västerås	ʋ ɛ s t ɛ r oː s
<|SWE|>väte	v ɛː t ɛ
<|SWE|>växjö	v ɛ kː ɧ øː
<|SWE|>våg	v oː ɡ
<|SWE|>vår	v oː r
<|SWE|>våras	 v oː r a s
<|SWE|>vård	v oː ɖ
<|SWE|>våt	v oː t
<|SWE|>äga	 ɛː ɡ a
<|SWE|>äldre	ɛ l d r ɛ
<|SWE|>äldst	ɛ l s t
<|SWE|>än	ɛ nː
<|SWE|>ända	ɛ n d a
<|SWE|>ära	 æː r a
<|SWE|>ärlig	æː ɭ ɪ ɡ
<|SWE|>äter	ɛː t ɘ r
<|SWE|>år	oː r
<|SWE|>årlig	 oː ɭ ɪ ɡ
<|SWE|>åsikt	oː s ɪ k t
<|SWE|>åstadkomma	 oː s t a k ɔ m a
<|SWE|>åt	oː t
<|SWE|>åtta	 ɔ tː a
<|SWE|>öga	øː ɡ a
<|SWE|>öl	øː l
<|SWE|>ön	øː n
<|SWE|>öppen	 œ p ɛ n
<|SWE|>öster	œ sː t ə r
<|SWE|>östersjön	 ø sː t ɛ r ɧ ø n
<|SWE|>östersund	œ s t ɛ r s ɵ n d
<|SWE|>över	øː v æ r
<|SWE|>överflöd	øː v ɛ r f l øː d
<|NLD|>aandeel	aː n d eː l
<|NLD|>aanhangen	aː n ɦ ɑ ŋ ə n
<|NLD|>aanhangsel	aː n ɦ ɑ ŋ s ə l
<|NLD|>aanhouding	aː n ɦ ɑ u̯ d ɪ ŋ
<|NLD|>aanrijding	aː n r ɛ i̯ d ɪ ŋ
<|NLD|>aanspreken	aː n s p r eː k ə n
<|NLD|>aanvoerder	aː n v uː r d ə r
<|NLD|>aanvoeren	aː n v uː r ə n
<|NLD|>aanwakkeren	aː n ʋ ɑ k ə r ə n
<|NLD|>aarden	aː r d ə n
<|NLD|>abacus	ɑ b aː k ʏ s
<|NLD|>achterblijven	ɑ x t ə r b l ɛ i̯ v ə n
<|NLD|>achthoek	ɑ x t ɦ u k
<|NLD|>achttien	ɑ x t i n
<|NLD|>acrobatiek	ɑ k r oː b aː t i k
<|NLD|>actrice	ɑ k t r i s ə
<|NLD|>adel	aː d ə l
<|NLD|>ademnood	aː d ə m n oː t
<|NLD|>adriaan	aː d r i aː n
<|NLD|>afbraak	ɑ f b r aː k
<|NLD|>afgeleide	ɑ f x ə l ɛ i̯ d ə
<|NLD|>afgoderij	ɑ f x oː d ə r ɛ i̯
<|NLD|>afhangen	ɑ f ɦ ɑ ŋ ə n
<|NLD|>afrit	ɑ f r ɪ t
<|NLD|>afscheiding	ɑ f s x ɛ i̯ d ɪ ŋ
<|NLD|>afslanken	ɑ f s l ɑ ŋ k ə n
<|NLD|>afstandsbediening	ɑ f s t ɑ n t s b ə d i n ɪ ŋ
<|NLD|>akelig	aː k ə l ə x
<|NLD|>alarmsignaal	ɑ l ɑ r m s ɪ n j aː l
<|NLD|>albanees	ɑ l b aː n eː s
<|NLD|>ale	eː l
<|NLD|>algemeenheid	ɑ l ɣ ə m eː n ɦ ɛ i̯ t
<|NLD|>almaar	ɑ l m aː r
<|NLD|>alsem	ɑ l s ə m
<|NLD|>alsmaar	ɑ l s m aː r
<|NLD|>alsnog	ɑ l s n ɔ x
<|NLD|>ambtenaar	ɑ m p t ə n aː r
<|NLD|>amerikaans	aː m eː r i k aː n s
<|NLD|>andersom	ɑ n d ə r s ɔ m
<|NLD|>andersvalide	ɑ n d ə r s f aː l i d ə
<|NLD|>angstig	ɑ ŋ s t ə x
<|NLD|>april	ɑ p r ɪ l
<|NLD|>archiveren	ɑ r x i v eː r ə n
<|NLD|>argon	ɑ r ɣ ɔ n
<|NLD|>aristocraat	aː r ɪ s t oː k r aː t
<|NLD|>arnhem	ɑ r n ɦ ɛ m
<|NLD|>aroma	aː r oː m aː
<|NLD|>artistiek	ɑ r t ɪ s t i k
<|NLD|>astrid	ɑ s t r ɪ t
<|NLD|>atelier	aː t ə l j eː
<|NLD|>atol	aː t ɔ l
<|NLD|>attribuut	ɑ t r i b y t
<|NLD|>automatisering	ɑ u̯ t oː m aː t i z eː r ɪ ŋ
<|NLD|>babbelen	b ɑ b ə l ə n
<|NLD|>bakken	b ɑ k ə n
<|NLD|>bakpoeder	b ɑ k p u d ə r
<|NLD|>bankovervaller	b ɑ ŋ k oː v ə r v ɑ l ə r
<|NLD|>bankroet	b ɑ ŋ k r u t
<|NLD|>bankschroef	b ɑ ŋ k s x r u f
<|NLD|>baren	b aː r ə n
<|NLD|>beantwoorden	b ə ɑ n t ʋ oː r d ə n
<|NLD|>bedrag	b ə d r ɑ x
<|NLD|>beduidend	b ə d œ y̯ d ə n t
<|NLD|>beerput	b eː r p ʏ t
<|NLD|>beginnen	b ə ɣ ɪ n ə n
<|NLD|>beginnerscursus	b ə ɣ ɪ n ə r s k ʏ r z ʏ s
<|NLD|>begint	b ə ɣ ɪ n t
<|NLD|>begrippenkader	b ə ɣ r ɪ p ə n k aː d ə r
<|NLD|>begroeten	b ə ɣ r u t ə n
<|NLD|>begroting	b ə ɣ r oː t ɪ ŋ
<|NLD|>behaaglijk	b ə ɦ aː x l ə k
<|NLD|>beheerbaar	b ə ɦ eː r b aː r
<|NLD|>behendigheid	b ə ɦ ɛ n d ə x ɦ ɛ i̯ t
<|NLD|>beiden	b ɛ i̯ d ə n
<|NLD|>bek	b ɛ k
<|NLD|>bekennen	b ə k ɛ n ə n
<|NLD|>beladen	b ə l aː d ə n
<|NLD|>belagen	b ə l aː ɣ ə n
<|NLD|>beledigen	b ə l eː d ə ɣ ə n
<|NLD|>benoemen	b ə n u m ə n
<|NLD|>beoordelen	b ə oː r d eː l ə n
<|NLD|>bepalen	b ə p aː l ə n
<|NLD|>bepleiten	b ə p l ɛ i̯ t ə n
<|NLD|>berber	b ɛ r b ə r
<|NLD|>berging	b ɛ r ɣ ɪ ŋ
<|NLD|>bes	b ɛ s
<|NLD|>beschermen	b ə s x ɛ r m ə n
<|NLD|>beschikken	b ə s x ɪ k ə n
<|NLD|>bespelen	b ə s p eː l ə n
<|NLD|>best	b ɛ s t
<|NLD|>bestanden	b ə s t ɑ n d ə n
<|NLD|>besturingssysteem	b ə s t yː r ɪ ŋ s i s t eː m
<|NLD|>betreffen	b ə t r ɛ f ə n
<|NLD|>betrekken	b ə t r ɛ k ə n
<|NLD|>betrokkenheid	b ə t r ɔ k ə n ɦ ɛ i̯ t
<|NLD|>bevalling	b ə v ɑ l ɪ ŋ
