aare	ɑ ɹ ə
hungry	h ʌ ŋ ɡ ɹ i
hunnic	h ʌ n ɪ k
hunny	h ʌ n i
hutchins	h ʌ t͡ʃ ɪ n z
hutt	h ʌ t
hyacinth	h a ɪ ə s ɪ n θ
hydaspes	h a ɪ d æ s p i z
hydrargyron	h a ɪ d ɹ ɑ d͡ʒ ɪ ɹ ɔ n
hydrocodone	h a ɪ d ɹ o ʊ k o ʊ d o ʊ n
hyllus	h ɪ l ə s
hyp	h ɪ p
hyped	h a ɪ p t
hyperemotional	h a ɪ p ə ɹ i m o ʊ ʃ ə n ə l
hyperplasia	h a ɪ p ɚ p l e ɪ ʒ ə
hypnotic	h ɪ p n ɔ t ɪ k
hypnotize	h ɪ p n ə t a ɪ̯ z
hypolemma	h a ɪ p o ʊ l ɛ m ə
hyrax	h a ɪ ɹ æ k s
ibisbill	a ɪ b ɪ s b ɪ l
ibotenic	i b o ʊ t ɛ n ɪ k
icebreaker	a ɪ s b ɹ e ɪ k ə ɹ
icositetrachoron	a ɪ k o ʊ s i t ɛ t ɹ ə k o ʊ ɹ ɔ n
idioticon	ɪ d i o ʊ t ə k ə n
idolic	a ɪ d ɔ l ɪ k
ielts	a ɪ̯ ɛ l t s
ignote	ɪ ɡ n o ʊ t
ikey	ʌ ɪ k i
illecebrous	ɪ l ɛ s ɪ b ɹ ə s
illegally	ɪ l i ɡ ə l i
illimitable	ɪ l ɪ m ɪ t ə b ə l
illuminated	ɪ l u m ɪ n e ɪ t ɪ d
ily	ɪ l i
imaginal	ɪ m a d͡ʒ ɪ n ə l
imbongi	ɪ m b ɔ ŋ ɡ i
imbue	ɪ m b j u
immerse	ɪ m ɜ ɹ s
immutably	ɪ m j u t ə b l ɪ
imogen	ɪ m ə d͡ʒ ɪ n
impair	ɪ m p ɛ
impales	ɪ m p e ɪ l z
imperfection	ɪ m p ɚ f ɛ k ʃ ə n
imperil	ɪ m p ɛ ɹ ə l
impetration	ɪ m p ɪ t ɹ e ɪ ʃ ə n
imply	ɪ m p l a ɪ
importunity	ɪ m p ɔ ɹ t u n ɪ t i
imposed	ɪ m p o ʊ z d
impost	ɪ m p o ʊ s t
impoverished	ɪ m p ɑ v ə ɹ ɪ ʃ t
impressive	ɪ m p ɹ ɛ s ɪ v
impugn	ɪ m p j u n
imputation	ɪ m p j ʊ t e ɪ ʃ ə n
inability	ɪ n ə b ɪ l ɪ t i
inaccurate	ɪ n æ k j ʊ ɹ ə t
inactivate	ɪ n æ k t ɪ v e ɪ t
inactive	ɪ n æ k t ɪ v
inappropro	ɪ n ə p ɹ o ʊ p ɹ o ʊ
inchings	ɪ n t͡ʃ ɪ ŋ z
inconsequentially	ɪ n k ɔ n s ɪ k w e n ʃ ə l i
inconsiderate	ɪ n k ə n s ɪ d ə ɹ ɪ t
incorrect	ɪ n k ə ɹ ɛ k t
incredulity	ɪ n k ɹ ɪ d j u l ɪ t i
inculcate	ɪ n k ʌ l k e ɪ t
incunable	ɪ n k j u n ə b ə l
indebted	ɪ n d ɛ t ɪ d
indecision	ɪ n d ɪ s ɪ ʒ ə n
indeficient	ɪ n d ɪ f ɪ ʃ ə n t
independent	ɪ n d ɪ p ɛ n d ə n t
indeterminate	ɪ n d ɪ t ɜ ɹ m ɪ n ə t
indevout	ɪ n d ɪ v a ʊ t
indices	ɪ n d ɪ s i z
indomethacin	ɪ n d o ʊ m ɛ θ ə s ɪ n
indulge	ɪ n d ʌ l d͡ʒ
induration	ɪ n d j ʊ ɹ e ɪ ʃ ə n
ineffable	ɪ n ɛ f ə b ə l
inevitability	ɪ n ɛ v ɪ t ə b ɪ l ɪ t i
inexhaustible	ɪ n ɪ ɡ z ɔ s t ɪ b l̩
infangthief	ɪ n f æ ŋ θ i f
infant	ɪ n f ə n t
infernal	ɪ n f ə ɹ n ə l
infiltrationism	ɪ n f ɪ l t ɹ e ɪ ʃ ə n ɪ z m̩
inflammable	ɪ n f l æ m ə b ə l
influenced	ɪ n f l u ə n s t
informant	ɪ n f ɔ ɹ m ə n t
ingemination	ɪ n d͡ʒ ɛ m ɪ n e ɪ ʃ ə n
ingredient	ɪ n ɡ ɹ i d i ə n t
inhabitant	ɪ n h æ b ɪ t ə n t
inhalation	ɪ n h ə l e ɪ ʃ ə n
inheritance	ɪ n h ɛ ɹ ə t ə n s
initial	ɪ n ɪ ʃ ə l
injector	ɪ n d͡ʒ ɛ k t ɚ
inner	ɪ n ɚ
inning	ɪ n ɪ ŋ
inoculate	ɪ n ɑ k j u l e ɪ t
inosite	ɪ n ə s a ɪ t
inquest	ɪ ŋ k w ɛ s t
inquinate	ɪ n k w ɪ n e ɪ t
inquiration	ɪ ŋ k w ɪ ɹ e ɪ ʃ ə n
insensible	ɪ n s ɛ n s ɪ b l̩
insolvable	ɪ n s ɔ l v ə b ə l
instantiate	ɪ n s t æ n ʃ i e ɪ t
insteep	ɪ n s t i p
insure	ɪ n ʃ ʊ ɚ
intend	ɪ n t ɛ n d
intensate	ɪ n t ɛ n s e ɪ t
intentions	ɪ n t ɛ n ʃ ə n z
intently	ɪ n t ɛ n t l i
intermezzo	ɪ n t ɚ m ɛ t s o ʊ
intermittent	ɪ n t ɚ m ɪ t n̩ t
interosseus	ɪ n t ə ɹ ɔ s i ə s
interpret	ɪ n t ɝ p ɹ ɪ t
interpreted	ɪ n t ɝ p ɹ ɪ t ɪ d
interpreter	ɪ n t ɝ p ɹ ɪ t ɚ
interspecific	ɪ n t ɚ s p ə s ɪ f ɪ k
interstice	ɪ n t ɚ s t ɪ s
intervallum	ɪ n t ə ɹ v æ l ə m
interventive	ɪ n t ɚ v ɛ n t ə v
interview	ɪ n t ɚ v j u
intimation	ɪ n t ə m e ɪ ʃ ə n
intrahepatic	ɪ n t ɹ ə h ə p æ t ɪ k
intraresidue	ɪ n t ɹ ə ɹ ɛ z ɪ d u
intrepid	ɪ n t ɹ ɛ p ɪ d
intriguing	ɪ n t ɹ i ɡ ɪ ŋ
introduce	ɪ n t ɹ ə d u s
invariably	ɪ n v ɛ ɹ i ə b l i
iotize	a ɪ ə t a ɪ z
iphone	a ɪ f o ʊ̯ n
irp	ɜ ɹ p
irredeemable	ɪ ɹ ə d i m ə b ə l
irreparable	ɪ ɹ ɛ p ə ɹ ə b ə l
irresponsibly	ɪ ɹ ɪ s p ɑ n s ə b l i
irruent	ɪ ɹ ɪ ʊ ə n t
irvin	ɝ v ɪ n
isauria	a ɪ s ɔ ɹ i ə
isethionate	a ɪ s ɪ θ a ɪ ə n e ɪ t
isolated	a ɪ s ə l e ɪ t ɪ d
isolationism	a ɪ s ə l e ɪ ʃ ə n ɪ z ə m
isotropy	a ɪ s ɔ t ɹ ə p i
isthmus	ɪ s m ə s
italianization	ɪ t æ l j ə n ə z e ɪ ʃ ə n
iwan	i w ɑ n
jacal	h ə k ɑ l
jace	d͡ʒ e ɪ s
jadoo	d͡ʒ ɑ d u
jakun	d͡ʒ ʌ k u n
janissary	d͡ʒ æ n ə z e ɹ i
jap	d͡ʒ æ p
japanese	d͡ʒ æ p ə n i z
japanophilia	d͡ʒ ə p æ n ə f ɪ l i ə
jared	d͡ʒ æ ɹ ə d
javertian	ʒ ə v ɛ ɹ ʃ ə n
jenkin	d͡ʒ ɛ ŋ k ɪ n
jestings	d͡ʒ ɛ s t ɪ ŋ z
jig	d͡ʒ ɪ ɡ
jinn	d͡ʒ ɪ n
jodhpurs	d͡ʒ ɑ d p ɚ z
johnnycake	d͡ʒ ɑ n i k e ɪ k
joins	d͡ʒ ɔ ɪ n z
joke	d͡ʒ o ʊ k
jonathan	d͡ʒ ɑ n ə θ ə n
journal	d͡ʒ ɝ n ə l
judder	d͡ʒ ʌ d ɚ
judeophilia	d͡ʒ u d i o ʊ f ɪ l ɪ ə
juicer	d͡ʒ u s ɚ
jumble	d͡ʒ ʌ m b ə l
jungle	d͡ʒ ʌ ŋ ɡ ə l
justify	d͡ʒ ʌ s t ɪ f a ɪ
kabuki	k ə b u k i
kaddish	k ɑ d ɪ ʃ
kansas	k æ n z ə s
katana	k ə t ɑ n ə
kazakhstan	k ɑ z ə k s t æ n
keaton	k i t ə n
keble	k i b ə l
kellia	k ɛ l i ə
kelsey	k ɛ l s i
kenning	k ɛ n ɪ ŋ
keynsham	k e ɪ n ʃ ə m
keypad	k i p æ d
khazar	k ə z ɑ ɹ
kickback	k ɪ k b æ k
kiki	k i k i
kikoi	k i k ɔ i
kilogram	k ɪ l ə ɡ ɹ æ m
kindergartner	k ɪ n d ɚ ɡ ɑ r t n ɚ
kindle	k ɪ n d l
kinds	k a ɪ n d z
kipfel	k ɪ p f ə l
kishke	k ɪ ʃ k ə
kithe	k ʌ ɪ ð
klein	k l a ɪ n
klepto	k l ɛ p t o ʊ
klutz	k l ʌ t s
kniffles	n ɪ f l i z
knightings	n a ɪ t ɪ ŋ z
knob	n ɑ b
knurly	n ɜ ɹ l i
koi	k ɔ ɪ
kokborok	k o ʊ k v o ʊ ɹ o ʊ k
kriol	k ɹ i o ʊ l
kulak	k u l æ k
kwok	k w ɔ k
kylix	k a ɪ l ɪ k s
kylixes	k a ɪ l ɪ k s ə z
kyphotone	k a ɪ f ə t o ʊ n
kyrgyz	k ɪ ɹ ɡ ɪ z
labiodental	l e ɪ b i o ʊ d e n t ə l
labor	l e ɪ b ɚ
lacerated	l æ s ə ɹ e ɪ t ɪ d
lachrymose	l æ k ɹ ɪ m o ʊ s
laciniate	l ə s ɪ n i ə t
lack	l æ k
lacrimogenous	l æ k ɹ ɪ m ɑ d͡ʒ ə n ə s
lactic	l æ k t ɪ k
ladakh	l ə d ɑ k
laden	l e ɪ d ə n
lady	l e ɪ d i
lageniform	l ə d͡ʒ ɛ n ə f ɔ ɹ m
lager	l ɑ ɡ ɚ
lamps	l æ m p s
landing	l æ n d ɪ ŋ
landon	l æ n d ə n
landover	l æ n d o ʊ v ə ɹ
languet	l æ ŋ ɡ w ɪ t
languid	l æ ŋ ɡ w ɪ d
langur	l ʌ ŋ ɡ ʊ ə ɹ
lantibiotic	l æ n t i b a ɪ ɔ t ɪ k
lapidation	l æ p ɪ d e ɪ ʃ ə n
lapis	l æ p ɪ s
lapses	l æ p s ɪ z
lapsus	l æ p s ə s
lariat	l æ ɹ ɪ ə t
larval	l ɑ ɹ v ə l
lase	l e ɪ z
laters	l e ɪ t ɚ z
latest	l e ɪ t ɪ s t
latigo	l æ t ɪ ɡ o ʊ
latria	l ə t ɹ a ɪ ə
lattice	l æ t ɪ s
latus	l e ɪ t ə s
launch	l ɔ n t͡ʃ
launderette	l ɔ n d ə ɹ ɛ t
laurussia	l ɔ ɹ ʌ ʃ ə
laves	l e ɪ v z
lays	l e ɪ z
lazed	l e ɪ z d
leafings	l i f ɪ ŋ z
leaks	l i k s
leapfrog	l i p f ɹ ɑ ɡ
lectures	l ɛ k t͡ʃ ɚ z
legato	l ə ɡ ɑ t o ʊ
legislate	l ɛ d͡ʒ ɪ s l e ɪ t
legislative	l ɛ d͡ʒ ɪ s l e ɪ t ɪ v
lehua	l ɛ h u ə
lemur	l i m ə ɹ
leninite	l ɛ n ɪ n a ɪ t
lepak	l ə p ɑ k
leprosy	l ɛ p ɹ ə s i
lesdar	l ɛ z d ɑ ɹ
lesson	l ɛ s n̩
lethargy	l ɛ θ ɚ d͡ʒ i
leucotome	l u k ə t o ʊ m
levitous	l ɛ v ɪ t ə s
levodopa	l ɛ v ə d o ʊ p ə
lewdness	l u d n ə s
lezzer	l ɛ z ɚ
li	l i
lias	l i ə s
libby	l ɪ b i
libertine	l ɪ b ɚ t i n
librarian	l a ɪ b ɹ ɛ ɹ i ə n
lice	l a ɪ s
lifetime	l a ɪ f t a ɪ m
lifting	l ɪ f t ɪ ŋ
lignify	l ɪ ɡ n ɪ f a ɪ
likelihood	l a ɪ k l i h ʊ d
liken	l a ɪ k ə n
likin	l i k ɪ n
lil	l ɪ l
lilliputian	l ɪ l ɪ p j u ʃ ə n
limavady	l ɪ m ə v æ d i
limelight	l a ɪ m l a ɪ t
limits	l ɪ m ɪ t s
limn	l ɪ m
limner	l ɪ m n ɚ
linalool	l ɪ n æ l o ʊ ə l
lines	l a ɪ n z
linezolid	l ɪ n ɛ z ə l ɪ d
lining	l a ɪ n ɪ ŋ
lipline	l ɪ p l a ɪ n
lipstick	l ɪ p s t ɪ k
listened	l ɪ s n̩ d
listicle	l ɪ s t ə k l̩
listing	l ɪ s t ɪ ŋ
literatus	l ɪ t ə ɹ ɑ t ə s
litharge	l ɪ θ ɑ ɹ d͡ʒ
litterateur	l ɪ t ə ɹ ə t ʊ ɚ
livery	l ɪ v ə ɹ i
livorno	l ə v ɔ ɹ n o ʊ
loaf	l o ʊ f
loam	l o ʊ m
loan	l o ʊ n
lobsterman	l ɔ b s t ə ɹ m ə n
lodgment	l ɑ d͡ʒ m ə n t
loggat	l ɔ ɡ ə t
logological	l ɑ ɡ o ʊ l ɑ d͡ʒ i k ə l
logorrhea	l ɔ ɡ ə ɹ i ə
logrolling	l ɑ ɡ ɹ o ʊ l ɪ ŋ
logy	l o ʊ ɡ i
loki	l o ʊ k i
londraville	l ɑ n d ɹ ə v ɪ l
long	l ɔ ŋ
longed	l ɔ ŋ d
longeval	l ɔ n d͡ʒ i v ə l
longhope	l ɔ ŋ h o ʊ p
looked	l ʊ k t
loong	l ʊ ŋ
loose	l u s
lote	l o ʊ t
lots	l ɑ t s
lottery	l ɑ t ɚ i
lou	l u
louder	l a ʊ d ɚ
loudspeaker	l a ʊ d s p i k ɚ
loyal	l ɔ ɪ ə l
lozenge	l ɑ z ɪ n d͡ʒ
lrrp	l ɝ p
luigino	l u i d͡ʒ i n o ʊ
lumber	l ʌ m b ɚ
lunching	l ʌ n t͡ʃ ɪ ŋ
lupanar	l u p e ɪ n ɑ
lusk	l ʌ s k
lusophilia	l u s ə f ɪ l ɪ ə
lymphopoietic	l ɪ m f o ʊ p ɔ ɪ ɛ t ɪ k
macaulay	m ə k ɔ l i
macdonald	m ə k d ɑ n ə l d
macher	m ɑ x ɛ ɹ
machinist	m ə ʃ i n ɪ s t
macky	m æ k i
macomb	m ə k o ʊ m
macspaunday	m ə k s p ɔ n d e ɪ
maenad	m i n æ d
maggie	m æ ɡ i
magnesia	m æ ɡ n i ʒ ə
magnificent	m æ ɡ n ɪ f ə s ə n t
maidan	m a ɪ d ɑ n
mainline	m e ɪ n l a ɪ n
malachite	m æ l ə k a ɪ t
malady	m æ l ə d i
malamute	m æ l ə m j u t
malarkey	m ə l ɑ ɹ k i
malaxable	m ə l æ k s ə b ə l
malevolent	m ə l ɛ v ə l ə n t
malinger	m ə l ɪ ŋ ɡ ɚ
malodorous	m æ l o ʊ d ə ɹ ə s
mammal	m æ m ə l
mammary	m æ m ə ɹ i
mandalay	m æ n d ə l e ɪ
mandarin	m æ n d ə ɹ ɪ n
mandom	m æ n d ə m
manhood	m æ n h ʊ d
manipulative	m ə n ɪ p j ə l ə t ɪ v
manks	m æ ŋ k s
manly	m æ n l i
manpack	m æ n p æ k
manque	m ɔ ŋ k e ɪ
mansplaining	m æ n s p l e ɪ n ɪ ŋ
mantilla	m æ n t i j ə
map	m æ p
marble	m ɑ ɹ b ə l
marginally	m ɑ ɹ d͡ʒ ɪ n ə l i
mariah	m ə ɹ a ɪ ə
marine	m ə ɹ i n
marmot	m ɑ ɹ m ə t
marocain	m ɑ ɹ ə k e ɪ n
marquee	m ɑ ɹ k i
marshy	m ɑ ɹ ʃ i
martyrium	m ɑ ɹ t ɪ ɹ i ə m
masked	m æ s k t
masonry	m e ɪ s ə n ɹ i
massachusetts	m æ s ə t͡ʃ u s ɪ t s
massingbird	m æ s ɪ ŋ b ɜ ɹ d
massymore	m æ s ɪ m ɔ
masterdom	m æ s t ɚ d ə m
masticatory	m æ s t ɪ k ə t ɔ r i
matthews	m æ θ j u z
maulstick	m ɔ l s t ɪ k
mausoleum	m ɔ s ə l i ə m
meal	m i l
mean	m i n
meant	m ɛ n t
measuring	m ɛ ʒ ɚ ɪ ŋ
mechanistic	m ɛ k ə n ɪ s t ɪ k
meclozine	m ɛ k l ə z i n
mediant	m i d i ə n t
mediately	m i d i ə t l i
mediator	m i d i e ɪ t ɚ
meed	m i d
meerkitten	m i ə k ɪ t ə n
melanoma	m ɛ l ə n o ʊ m ə
membraneous	m ɛ m b ɹ e ɪ n i ə s
men	m ɛ n
mendaciously	m ɛ n d e ɪ ʃ ə s l i
mendelevium	m ɛ n d ə l i v i ə m
mental	m ɛ n t ə l
mentally	m ɛ n t ə l i
merch	m ɝ t͡ʃ
merenchyma	m ɛ ɹ ɪ ŋ k a ɪ m ə
meritocracy	m ɛ ɹ ə t ɑ k ɹ ə s i
merkel	m e ɹ k ə l
mesmerize	m ɛ z m ə ɹ a ɪ z
mesna	m ɛ z n ə
message	m ɛ s ɪ d͡ʒ
messages	m ɛ s ɪ d͡ʒ ɪ z
messias	m ə s a ɪ ə s
messrs	m ɛ s ɚ z
met	m ɛ t
metacercaria	m ɛ t ə s ɜ ɹ k ɛ ɹ ɪ ə
metaller	m ɛ t ə l ə
metamorphosis	m ɛ ɾ ə m ɔ ɹ f ə s ɪ s
metaphyte	m ɛ d ə f a ɪ t
metastatic	m ɛ t ə s t æ t ɪ k
metatheoretical	m ɛ t ə θ i ə ɹ ɛ t ɪ k l̩
mete	m i t
meth	m ɛ θ
metharbital	m ə θ ɑ ɹ b ə t ɔ l
metic	m ɛ t ə k
mexiletine	m ɛ k s ɪ l ə t i n
microzyma	m a ɪ k ɹ o ʊ z a ɪ m ə
midazolam	m ɪ d æ z ə l æ m
middle	m ɪ d ə l
middlemarch	m ɪ d ə l m ɑ t͡ʃ
midst	m ɪ d s t
mielie	m i l i
millipede	m ɪ l ə p i d
millisor	m ɪ l a ɪ z ɚ
milnacipran	m ɪ l n æ s ə p ɹ æ n
milquetoast	m ɪ l k t o ʊ s t
milt	m ɪ l t
mimantean	m ɪ m æ n t i ə n
mime	m a ɪ m
mince	m ɪ n s
mind	m a ɪ n d
minds	m a ɪ n d z
ministerial	m ɪ n ə s t ɪ ɹ i ə l
minnesotan	m ɪ n ə s o ʊ t ə n
minnie	m ɪ n i
minocycline	m ɪ n o ʊ s a ɪ k l i n
minto	m ɪ n t o ʊ
minyans	m ɪ n a ɪ ə n z
misbeliever	m ɪ s b ɪ l i v ɚ
miscellaneous	m ɪ s ə l e ɪ n ɪ ə s
miscreate	m ɪ s k ɹ ɪ e ɪ t
miserabilist	m ɪ z ə ɹ ə b ə l ɪ s t
miserabler	m ɪ z ɹ ə b ə l ə ɹ
miserly	m a ɪ z ə ɹ l i
mislead	m ɪ s l i d
misogynist	m ɪ s ɑ d͡ʒ ə n ɪ s t
misoprostol	m a ɪ s o ʊ p ɹ ɑ s t ɔ l
missionaries	m ɪ ʃ ə n ɛ ɹ i z
missive	m ɪ s ɪ v
missouran	m ə z ɝ ə n
mistress	m ɪ s t ɹ ɪ s
mithraeum	m ɪ θ ɹ i ə m
mitral	m a ɪ t ɹ ə l
mitre	m a ɪ t ə ɹ
mizo	m ɪ z o ʊ
mnemotechnical	n ɛ m o ʊ t ɛ k n ɪ k ə l
moan	m o ʊ n
moany	m o ʊ n i
mockery	m ɑ k ə ɹ i
model	m ɑ d l̩
modernize	m ɑ d ɚ n a ɪ z
modulo	m ɔ d͡ʒ ə l o ʊ
modus	m o ʊ d ə s
mofetil	m o ʊ f ə t ɪ l
mogwai	m ɔ ɡ w a ɪ
moil	m ɔ ɪ l
molestation	m o ʊ l ɪ s t e ɪ ʃ ə n
monaco	m ɑ n ə k o ʊ
monadnock	m ə n æ d n ɔ k
monk	m ʌ ŋ k
monoclonal	m ɑ n ə k l o ʊ n ə l
montpellier	m ɔ n p ɛ l i e ɪ
montseny	m ɔ n t s e ɪ n
monuments	m ɑ n j ə m ə n t s
moonwalk	m u n w ɔ k
moos	m u z
moqui	m o ʊ k i
morass	m ə ɹ æ s
morisco	m ə r ɪ s k o ʊ
mosey	m o ʊ z i
motel	m o ʊ t ɛ l
motherfreaking	m ʌ ð ə ɹ f ɹ i k ɪ ŋ
motherland	m ʌ ð ɚ l æ n d
mowed	m o ʊ d
much	m ʌ t͡ʃ
mud	m ʌ d
muggins	m ʌ ɡ ɪ n z
muh	m ə
mullein	m ʌ l ɪ n
mundialization	m ɑ n d i ə l ə z e ɪ ʃ ə n
munificence	m j u n ɪ f ɪ s ə n s
munshi	m u n ʃ i
muskrat	m ʌ s k ɹ æ t
mussolini	m ʊ s ə l i n i
mussurana	m ʊ s ʊ ɹ ɑ n ə
mustang	m ʌ s t æ ŋ
mutable	m j u t ə b l̩
mutter	m ʌ t ɚ
myeloid	m a ɪ ə l ɔ ɪ d
myob	ɛ m w a ɪ o ʊ b i
myoglobinemia	m a ɪ o ʊ ɡ l o ʊ b ɪ n i m i ə
myriagon	m ɪ ɹ i ə ɡ ɑ n
mystic	m ɪ s t ɪ k
myvyrian	m i v ɪ ɹ i ə n
nabal	n e ɪ b ə l
nagual	n ə ɡ w ɑ l
naltrexone	n æ l t ɹ ɛ k s o ʊ n
names	n e ɪ m z
naming	n e ɪ m ɪ ŋ
nandrolone	n æ n d ɹ ə l o ʊ n
nanson	n æ n s ə n
nanterre	n ɑ n t ɛ ɹ
naris	n ɛ ɹ ɪ s
narrowly	n ɛ ɹ o ʊ l i
nasty	n æ s t i
natation	n æ t e ɪ ʃ ə n
nate	n e ɪ t
nationalize	n æ ʃ ə n ə l a ɪ z
nazareth	n æ z ə ɹ ə θ
ncaa	ɛ n s i e ɪ e ɪ
neat	n i t
neb	n ɛ b
nectar	n ɛ k t ə ɹ
need	n i d
needful	n i d f ə l
needs	n i d z
nefopam	n ɛ f ə p æ m
neglection	n ə ɡ l ɛ k ʃ ə n
negus	n i ɡ ə s
neil	n i l
neolithic	n i o ʊ l ɪ θ ɪ k
neonism	n i ə n ɪ z ə m
nephite	n i f a ɪ t
nepotic	n ə p ɔ t ɪ k
nepoticide	n ə p ɑ t ə s a ɪ d
nerd	n ɝ d
nervy	n ɝ v i
netball	n ɛ t b ɔ l
netter	n ɛ t ə ɹ
neutral	n u t ɹ ə l
neverendum	n ɛ v ɚ ɛ n d ə m
nevertheless	n ɛ v ɚ ð ə l ɛ s
neville	n ɛ v ə l
newcastle	n j u k æ s l̩
newman	n u m ə n
nicene	n a ɪ s i n
nifurtimox	n a ɪ f ɝ t ɪ m ɑ k s
niggery	n ɪ ɡ ə ɹ i
nighness	n a ɪ n ə s
nintendo	n ɪ n t ɛ n d o ʊ
niobium	n a ɪ o ʊ b i ə m
nithing	n a ɪ ð ɪ ŋ
nitpick	n ɪ t p ɪ k
nitro	n a ɪ t ɹ o ʊ
nob	n ɑ b
nobility	n o ʊ b ɪ l ɪ t i
nog	n ɔ ɡ
nogai	n o ʊ ɡ a ɪ
nominal	n ɑ m ɪ n l̩
nominalize	n ɑ m ə n ə l a ɪ z
normothermic	n ɔ ɹ m o ʊ θ ɝ m ɪ k
northern	n ɔ ɹ ð ɚ n
noscapine	n ɑ s k ə p i n
nosebleed	n o ʊ z b l i d
noticeable	n o ʊ t ɪ s ə b l̩
nougat	n u ɡ ə t
noughth	n ɔ t θ
noughties	n ɔ t i z
novels	n ɑ v l̩ z
november	n o ʊ v ɛ m b ə ɹ
novembers	n o ʊ v ɛ m b ɚ z
npd	ɛ n p i d i
nth	ɛ n θ
nuclide	n j u k l a ɪ d
nulled	n ʌ l d
nulls	n ʌ l z
numinous	n j u m ə n ə s
numismatist	n j u m ɪ z m ə t ɪ s t
nuptial	n ʌ p ʃ ə l
nyah	n j æ
obex	o ʊ b ɛ k s
oblast	ɔ b l ə s t
obliviality	ə b l ɪ v i æ l ɪ t i
obsecratory	ɑ b s ɛ k ɹ ə t ɔ ɚ ɹ i
obsequious	ə b s i k w i ə s
obstinacy	ɑ b s t ɪ n ə s i
obviation	ɔ b v i e ɪ ʃ ə n
obviative	ɔ b v i ə t ɪ v
occupied	ɑ k j ə p a ɪ d
occupy	ɑ k j ə p a ɪ
ochronosis	o ʊ k ɹ ə n o ʊ s ɪ s
octad	ɑ k t æ d
octet	ɔ k t ɛ t
octobers	ɑ k t o ʊ b ɚ z
octosyllabic	ɑ k t o ʊ s ɪ l æ b ɪ k
octyne	ɔ k t a ɪ n
oesophagus	ɪ s ɑ f ə ɡ ə s
offend	ə f ɛ n d
officials	ə f ɪ ʃ ə l z
oiler	ɔ ɪ l ɚ
ok	o ʊ k e ɪ
oligomer	ə l ɪ ɡ ə m ə ɹ
oligophrenia	ɔ l ɪ ɡ o ʊ f ɹ i n ɪ ə
olio	o ʊ l j o ʊ
olson	o ʊ l s ə n
omohyoid	o ʊ m o ʊ h a ɪ ɔ ɪ d
onchocerciasis	ɔ ŋ k ə s ɜ k a ɪ ə s ɪ s
oneirocritic	o ʊ n a ɪ ɹ ə k ɹ ɪ t ɪ k
oneironautics	o ʊ n a ɪ ɹ o ʊ n ɔ t ɪ k s
onymous	ɑ n ɪ m ə s
oov	u v
opacate	o ʊ p ə k e ɪ t
opened	o ʊ p ə n d
openly	o ʊ p ə n l i
optimation	ɔ p t ɪ m e ɪ ʃ ə n
optimum	ɑ p t ɪ m ə m
opusculum	o ʊ p ʌ s k j u l ə m
orangeat	ɔ ɹ æ n ʒ æ t
orbit	ɔ ɹ b ɪ t
orcus	ɔ r k ə s
orfe	ɔ f
organelle	ɔ ɹ ɡ ə n ɛ l
organum	ɔ ɹ ɡ ə n ə m
oroide	o ʊ ɹ ə w a ɪ d
orotundity	ɔ ɹ ə t ʌ n d ɪ t i
orr	ɔ ɹ
osprey	ɑ s p ɹ i
ossify	ɑ s ə f a ɪ
ossining	ɔ s i n ɪ ŋ
ostensibly	ɑ s t ɛ n s ə b l i
ostentation	ɔ s t ə n t e ɪ ʃ ə n
ostrichism	ɑ s t ɹ i t͡ʃ ɪ z ə m
otira	o ʊ t ɪ ɹ ɑ
ouagadougou	w ɑ ɡ ə d u ɡ u
ouguiya	u ɡ i j ə
outwind	a ʊ t w a ɪ n d
ovation	o ʊ v e ɪ ʃ ə n
overact	o ʊ v ə ɹ æ k t
overawe	o ʊ v ɚ ɔ
overdraft	o ʊ v ɚ d ɹ æ f t
overemotional	o ʊ v ə ɹ i m o ʊ ʃ ə n ə l
overlive	o ʊ v ə ɹ l ɪ v
overnourished	o ʊ v ɚ n ʌ ɹ ɪ ʃ t
overnutrition	o ʊ v ə ɹ n j u t ɹ ɪ ʃ ə n
overproof	o ʊ v ɚ p ɹ u f
overshadow	o ʊ v ɚ ʃ æ d o ʊ
oversolicitous	o ʊ v ɚ s ə l ɪ s ɪ ɾ ə s
overspecialization	o ʊ v ɚ s p ɛ ʃ ə l ɪ z e ɪ ʃ n̩
overstuffed	o ʊ v ɚ s t ʌ f t
overtone	o ʊ v ɚ t o ʊ n
overview	o ʊ v ə ɹ v j u
overwait	o ʊ v ɚ w e ɪ t
overwhelmed	o ʊ v ɚ w ɛ l m d
overzealous	ə͡ʊ v ə z ɛ l ə s
ovipositor	o ʊ v ɪ p ɑ z ɪ t ɚ
owling	a ʊ l ɪ ŋ
owner	o ʊ n ɚ
owns	o ʊ n z
oxfendazole	ɔ k s f ɛ n d ə z o ʊ l
oxycodone	ɑ k s ɪ k o ʊ d o ʊ n
oxymethazoline	ɑ k s ɪ m ə θ æ z ə l i n
paan	p ɑ n
paca	p æ k ə
packet	p æ k ɪ t
pact	p æ k t
padding	p æ d ɪ ŋ
page	p e ɪ d͡ʒ
paginate	p æ d͡ʒ ə n e ɪ t
pagination	p æ d͡ʒ ə n e ɪ ʃ ə n
paint	p e ɪ n t
painting	p e ɪ n t ɪ ŋ
paladin	p æ l ə d ɪ n
palau	p ə l a ʊ
