<|IND|>gen	ɡ ɛ n
<|CEB|>kwelyo	k w e l j o
<|CEB|>laag	l a ʔ a ɡ
<|CEB|>laagan	l a ʔ a ɡ a n
<|CEB|>labaha	l a b a h a
<|CEB|>labot	l a b o t
<|CEB|>lagutmon	l a ɡ u t m o n
<|CEB|>lahar	l a h a ɾ
<|CEB|>lakat	l a k a t
<|CEB|>lalaki	l a l a k i
<|CEB|>lamparilya	l a m p a ɾ i l j a
<|CEB|>langaw	l a ŋ a w
<|CEB|>langoyanan	l a ŋ o j a n a n
<|CEB|>lanot	l̪ a n̪ o t̪
<|CEB|>lansa	l a n s a
<|CEB|>lansyaw	l a n s j a w
<|CEB|>lapa	l̪ a p a ʔ
<|CEB|>largabista	l a ɾ ɡ a b i s t a
<|CEB|>lasang	l a s a ŋ
<|CEB|>laslas	l a s l a s
<|CEB|>lawas	l a w a s
<|CEB|>lawin	l a w i n
<|CEB|>libang	l i b a ŋ
<|CEB|>libre	l i b ɾ e
<|CEB|>lider	l i d e ɾ
<|CEB|>ligid	l i ɡ i d
<|CEB|>lihay	l i h a j
<|CEB|>liog	l i ʔ o ɡ
<|CEB|>lisensiyado	l i s e n s i a d o
<|CEB|>liso	l i s o
<|CEB|>listahan	l i s t a h a n
<|CEB|>litrato	l i t ɾ a t o
<|CEB|>lubnganan	l u b ŋ a n a n
<|CEB|>lugaw	l u ɡ a w
<|CEB|>lugos	l u ɡ o s
<|CEB|>luhod	l u h o d
<|CEB|>lukdo	l u k d o
<|CEB|>lunga	l̪ u ŋ a
<|CEB|>lungayngay	l u ŋ a j ŋ a j
<|CEB|>lungib	l u ŋ i b
<|CEB|>lungon	l u ŋ o n
<|CEB|>lungsod	l u ŋ s o d
<|CEB|>lunhaw	l u n h a u
<|CEB|>lupoy	l u p o j
<|CEB|>lusa	l u s a ʔ
<|CEB|>lusay	l u s a j
<|CEB|>luwag	l u a ɡ
<|CEB|>luwas	l u a s
<|CEB|>mabalod	m a b a l o d
<|CEB|>mabangis	m a b a ŋ i s
<|CEB|>madre	m a d ɾ e
<|CEB|>magdudula	m a ɡ d u d u l a ʔ
<|CEB|>magduduwa	m a ɡ d u d u w a ʔ
<|CEB|>maglala	m a ɡ l a l a
<|CEB|>mahatagon	m a h a t a ɡ o n
<|CEB|>mahilom	m a h i l u m
<|CEB|>makaduha	m a k a d u h a
<|CEB|>makalima	m ʌ k a l̪ i m a
<|CEB|>makapito	m ʌ k a p i t̪ o
<|CEB|>makatubol	m a k a t u b o l
<|CEB|>makaunom	m ʌ k a u n ʊ m
<|CEB|>makausa	m ʌ k a u s̪ a
<|CEB|>maldito	m a l d i t o
<|CEB|>malinawon	m a l i n a w o n
<|CEB|>malisyoso	m a l i s j o s o
<|CEB|>maluya	m a l u j a
<|CEB|>man	m a n
<|CEB|>manahon	m a n a h o n
<|CEB|>manambalay	m a n a m b a l a j
<|CEB|>mangahoy	m a ŋ a h o j
<|CEB|>mangga	m a ŋ ɡ a
<|CEB|>mani	m a n i
<|CEB|>manokmanok	m a n o k m a n o k
<|CEB|>mapa	m a p a
<|CEB|>mapahiyomon	m a p a h i j o m o n
<|CEB|>martilyo	m a ɾ t i l j o
<|CEB|>maskara	m a s k a ɾ a
<|CEB|>matahapon	m a t a h a p o n
<|CEB|>matulogtulog	m a t u l o ɡ t u l o ɡ
<|CEB|>matunok	m a t u n o k
<|CEB|>mayor	m ɛ j o ɾ
<|CEB|>merkado	m e ɾ k a d o
<|CEB|>mikropono	m i k ɾ o p o n o
<|CEB|>milo	m i l̪ o ʔ
<|CEB|>miyentras	m i j e n t ɾ a s
<|CEB|>morpema	m o ɾ p e m a
<|CEB|>mulmol	m u l m o l
<|CEB|>nana	n a n a ʔ
<|CEB|>napulo	n a p u l ʊ ʔ
<|CEB|>nasyon	n a s j o n
<|CEB|>negra	n e ɡ ɾ a
<|CEB|>negro	n e ɡ ɾ o
<|CEB|>ngabil	ŋ a b i l
<|CEB|>ngilo	ŋ i l̪ o
<|CEB|>ngislo	ŋ i s l o ʔ
<|CEB|>ngutngot	ŋ u t ŋ o t
<|CEB|>nila	n i l a
<|CEB|>ninyo	n i n d͡ʒ o
<|CEB|>okupado	ʔ o k u p a d o
<|CEB|>otap	o t̪ a p
<|CEB|>otin	ʔ o t i n
<|CEB|>pagkuha	p ʌ ɡ k u h a ʔ
<|CEB|>pagpamolitika	p a ɡ p a m o l i t i k a
<|CEB|>pagpanigarilyo	p a ɡ p a n i ɡ a ɾ i l j o
<|CEB|>pagpuno	p ʌ ɡ p u n ɔ ʔ
<|CEB|>pagtupad	p a ɡ t u p a d
<|CEB|>pahayahay	p a h a j a h a j
<|CEB|>pahiyom	p a h i j o m
<|CEB|>pahumot	p a h u m o t
<|CEB|>painit	p a ʔ i n i t
<|CEB|>palahubog	p a l a h u b o ɡ
<|CEB|>palainom	p a l a ʔ i n o m
<|CEB|>palangga	p a l a ŋ ɡ a ʔ
<|CEB|>palibot	p a l i b o t
<|CEB|>pambata	p a m b a t a
<|CEB|>panagang	p a n a ɡ a ŋ
<|CEB|>pandak	p a n d a k
<|CEB|>pandong	p a n d o ŋ
<|CEB|>pangadye	p a ŋ a d j ɛ
<|CEB|>pangitik	p a ŋ i t̪ i k
<|CEB|>panigarilyo	p a n i ɡ a ɾ i l j o
<|CEB|>pantalon	p a n t a l o n
<|CEB|>paragrap	p a ɾ a ɡ ɾ a p
<|CEB|>paraiso	p a ɾ a j s o
<|CEB|>parapente	p a ɾ a p e n t e
<|CEB|>parapo	p a ɾ a p o
<|CEB|>paras	p a ɾ a s
<|CEB|>pareho	p a ɾ e h o
<|CEB|>paryente	p a ɾ j e n t e
<|CEB|>pasilidad	p a s i l i d a d
<|CEB|>pasipista	p a s i p i s t a
<|CEB|>pastor	p a s t o ɾ
<|CEB|>patay	p a t a j
<|CEB|>patilya	p a t i l j a
<|CEB|>pato	p a t o
<|CEB|>pawikan	p a w i k a n
<|CEB|>payag	p a j a ɡ
<|CEB|>payod	p a j o d
<|CEB|>payong	p a j o ŋ
<|CEB|>pilak	p i l a k
<|CEB|>pilipog	p i l i p o ɡ
<|CEB|>pinito	p i n ɪ t ʊ
<|CEB|>pinyahan	p i ɲ a h a n
<|CEB|>pirma	p i ɾ m a
<|CEB|>piso	p i s o
<|CEB|>piyer	p i j e ɾ
<|CEB|>planta	p l a n t a
<|CEB|>poste	p o s t e
<|CEB|>prediksyon	p ɾ e d i k s i j o n
<|CEB|>preparado	p ɾ e p a ɾ a d o
<|CEB|>presensya	p ɾ e s e n s j a
<|CEB|>pribilehiyo	p ɾ i b i l e h i j o
<|CEB|>prisohan	p ɾ i s o h a n
<|CEB|>probinsiya	p ɾ o b i n s j a
<|CEB|>prutas	p ɾ u t a s
<|CEB|>puasa	p u ʔ a s a
<|CEB|>pudlos	p u d l o s
<|CEB|>puhunan	p u h u n a n
<|CEB|>puklo	p u k l o ʔ
<|CEB|>pukot	p u k o t
<|CEB|>pulkas	p u l k a s
<|CEB|>punerarya	p u n e ɾ a ɾ j a
<|CEB|>pungko	p u ŋ k o ʔ
<|CEB|>pungkopungko	p u ŋ k o p u ŋ k o ʔ
<|CEB|>puso	p u s o
<|CEB|>putli	p u t l i ʔ
<|CEB|>puto	p u t o
<|CEB|>puwede	p u w e d e
<|CEB|>ransiyo	ɾ a n s i j o
<|CEB|>regalo	ɾ e ɡ a l o
<|CEB|>relasyon	ɾ e l a s j o n
<|CEB|>reorganisar	ɾ e ʔ o ɾ ɡ a n i s a ɾ
<|CEB|>reporma	ɾ e p o ɾ m a
<|CEB|>rosquillos	ɾ̪ o s̪ k i l̪ j o s̪
<|CEB|>ruler	ɾ u l e ɾ
<|CEB|>sabsab	s a b s a b
<|CEB|>sabwag	s a b w a ɡ
<|CEB|>sagang	s a ɡ a ŋ
<|CEB|>sagbot	s̪ a ɡ b o t̪
<|CEB|>saka	s a k a
<|CEB|>sakate	s a k a t e
<|CEB|>saksi	s a k s i
<|CEB|>salabay	s a l a b a j
<|CEB|>salabotan	s a l a b o t a n
<|CEB|>salida	s a l i d a
<|CEB|>salikwaot	s a l i k w a ʔ o t
<|CEB|>salom	s a l o m
<|CEB|>saluwal	s a l u w a l
<|CEB|>samar	s aˑ m ɐ ɾ
<|CEB|>sambag	s ɐ m b ɐ ɡ
<|CEB|>sandiya	s a n d i j a
<|CEB|>sanga	s a ŋ a
<|CEB|>sangay	s a ŋ a ɪ
<|CEB|>sano	s a n o
<|CEB|>santilmo	s a n t i l m o
<|CEB|>saong	s a ʔ o ŋ
<|CEB|>sapal	s a p a l
<|CEB|>sapi	s a p ɪ ʔ
<|CEB|>sayal	s a j a l
<|CEB|>sayop	s a j o p
<|CEB|>sedula	s e d u l a
<|CEB|>seguro	s e ɡ u ɾ o
<|CEB|>seksyon	s e k s j o n
<|CEB|>semilya	s e m i l j a
<|CEB|>senado	s e n a d o
<|CEB|>sensiyo	s e n s i j o
<|CEB|>sentido	s e n t i d o
<|CEB|>serbesa	s e ɾ b e s a
<|CEB|>setenta	s e t e n t a
<|CEB|>sigay	s̪ i ɡ a ɪ
<|CEB|>sige	s i ɡ e
<|CEB|>sijam	s i d͡ʒ a m
<|CEB|>sikaduha	s̪ i k a d̪ u h a
<|CEB|>sikatulo	s̪ i k a t̪ u l o
<|CEB|>siko	s i k o
<|CEB|>simbako	s i m b a k o
<|CEB|>sindikato	s i n d i k a t o
<|CEB|>sinehan	s i n e h a n
<|CEB|>singot	s i ŋ o t
<|CEB|>sipat	s̪ i p a t̪
<|CEB|>sirado	s i ɾ a d o
<|CEB|>siya	s i a
<|CEB|>siyudad	s i j u d a d
<|CEB|>sosyalismo	s o s j a l i s m o
<|CEB|>suba	s u b a ʔ
<|CEB|>sugal	s u ɡ a l
<|CEB|>sukli	s u k l i ʔ
<|CEB|>suko	s u k ɔ
<|CEB|>sula	s u l a
<|CEB|>sulay	s u l a j
<|CEB|>sulod	s u d
<|CEB|>susmarisep	s u s m a ɾ i s e p
<|CEB|>sutukil	s u t u k i l
<|CEB|>suway	s u a j
<|CEB|>suwerte	s u w e ɾ t e
<|CEB|>suya	s u j a ʔ
<|CEB|>taas	t̪ a ʔ a s̪
<|CEB|>tabilikod	t a b i l i k o d
<|CEB|>tagaw	t a ɡ a w
<|CEB|>tagay	t a ɡ a j
<|CEB|>tagiptip	t̪ a ɡ i p t̪ i p
<|CEB|>tagohipos	t a ɡ o h i p o s
<|CEB|>tahod	t̪ a h o d̪
<|CEB|>taklob	t a k l o b
<|CEB|>takos	t a k o s
<|CEB|>takwal	t a k w a l
<|CEB|>talaba	t a l a b a
<|CEB|>talaw	t a l a w
<|CEB|>talawan	t a l a w a n
<|CEB|>tali	t a l i
<|CEB|>talibong	t a l i b o ŋ
<|CEB|>taludtod	t a l u d t o d
<|CEB|>tambalanan	t a m b a l a n a n
<|CEB|>tambaloslos	t a m b a l o s l o s
<|CEB|>taming	t a m i ŋ
<|CEB|>tangis	t a ŋ i s
<|CEB|>tangkugo	t a ŋ k u ɡ o ʔ
<|CEB|>tanglad	t a ŋ l a d
<|CEB|>taop	t̪ a ɔ p
<|CEB|>tapis	t̪ a p i s̪
<|CEB|>tapol	t a p o l
<|CEB|>tapos	t a p o s
<|CEB|>tasa	t a s a
<|CEB|>tata	t a t a
<|CEB|>taudtaod	t a ʔ u d t a ʔ o d
<|CEB|>tawa	t a w a
<|CEB|>tawag	t a w a ɡ
<|CEB|>tawong	t a w o ŋ
<|CEB|>telepono	t e l e p o n o
<|CEB|>templado	t e m p l a d o
<|CEB|>tigbahin	t̪ i ɡ b a h i n̪
<|CEB|>tigdugang	t̪ i ɡ d̪ u ɡ a ŋ
<|CEB|>tigdumala	t i ɡ d u m a l a
<|CEB|>tigidig	t i ɡ i d i ɡ
<|CEB|>tigkuha	t̪ i ɡ k u h a ʔ
<|CEB|>tigpuno	t̪ i ɡ p u n o ʔ
<|CEB|>tiket	t i k e t
<|CEB|>tiklo	t i k l o ʔ
<|CEB|>tilaok	t i l a ʔ o k
<|CEB|>tindera	t i n d e ɾ a
<|CEB|>tindog	t i n d o ɡ
<|CEB|>tingali	t i ŋ a l i
<|CEB|>tingkoy	t i ŋ k o j
<|CEB|>tingob	t̪ i ŋ o b
<|CEB|>tipas	t̪ i p a s̪
<|CEB|>tiya	t i j a
<|CEB|>tiyo	t i j o
<|CEB|>tokaya	t o k a j a
<|CEB|>tokhang	t o k h a ŋ
<|CEB|>toma	t o m a ʔ
<|CEB|>trangkaso	t ɾ a ŋ k a s o
<|CEB|>trapik	t ɾ a p i k
<|CEB|>traynta	t ɾ a j n t a
<|CEB|>tsapa	t͡ʃ a p a
<|CEB|>tsinelas	t s i n e l a s
<|CEB|>tsismosa	t s i s m o s a
<|CEB|>tuberkulosis	t u b e ɾ k u l o s i s
<|CEB|>tubo	t u b o
<|CEB|>tudtod	t u d t o d
<|CEB|>tugas	t u ɡ a s
<|CEB|>tuig	t u ʔ i ɡ
<|CEB|>tukoy	t u k o j
<|CEB|>tulak	t u l a k
<|CEB|>tuli	t u l i ʔ
<|CEB|>tulo	t u l o
<|CEB|>tunok	t u n o k
<|CEB|>tuohon	t u ʔ o h o n
<|CEB|>turko	t u ɾ k u
<|CEB|>tuwerka	t u w e ɾ k a
<|CEB|>udong	ʔ u d o ŋ
<|CEB|>udto	ʔ u d t o
<|CEB|>ugat	ʔ u ɡ a t
<|CEB|>ugay	u ɡ a ɪ
<|CEB|>ugdo	ʔ u ɡ d o
<|CEB|>ugis	ʔ u ɡ i s
<|CEB|>ugkay	ʔ u ɡ k a j
<|CEB|>ugma	ʔ u ɡ m a ʔ
<|CEB|>uki	ʔ u k i
<|CEB|>unahan	u n a h ʌ n
<|CEB|>unauna	u n a u n a
<|CEB|>unom	ʔ u n o m
<|CEB|>utang	ʔ u t a ŋ
<|CEB|>utangan	ʔ u t a ŋ a n
<|CEB|>utong	ʔ u t o ŋ
<|CEB|>uwak	ʔ u a k
<|CEB|>uyon	ʔ u j o n
<|CEB|>wagas	w a ɡ a s
<|CEB|>wail	w a i l̪
<|CEB|>winalo	w i n a l ʊ
<|CEB|>yads	j a d ʒ
<|CEB|>yamis	j a m i s
<|CEB|>yaya	j a j a
<|TGL|>bayawak	b a j a w a k
<|TGL|>luminis	l u m i n i s
<|TGL|>Kuwaresma	k u a ɾ e s m a
<|TGL|>mahinhin	m a h i n h i n
<|TGL|>lamasin	l a m a s i n
<|TGL|>kolehiyal	k o l e h i a l
<|TGL|>samo	s a m o ʔ
<|TGL|>bibliyoteka	b i b l i o t e k a
<|TGL|>z	z i
<|TGL|>Clemente	k l e m e n t e
<|TGL|>entero	ʔ e n t e ɾ o
<|TGL|>rehente	ɾ e h e n t e
<|TGL|>balimbing	b a l i m b i ŋ
<|TGL|>matitibay	m a t i t i b a j
<|TGL|>giwa	ɡ i w a ʔ
<|TGL|>sumunod	s u m u n o d
<|TGL|>misis	m i s i s
<|TGL|>bungaw	b u ŋ a w
<|TGL|>halumigmig	h a l u m i ɡ m i ɡ
<|TGL|>makuha	m a k u h a
<|TGL|>tako	t a k o
<|TGL|>hirol	h i ɾ o l
<|TGL|>Indotsina	ʔ i n d o t͡ʃ i n a
<|TGL|>alisangsang	ʔ a l i s a ŋ s a ŋ
<|TGL|>Libjo	l i b h o ʔ
<|TGL|>sidlan	s i d l a n
<|TGL|>batubalani	b a t u b a l a n i ʔ
<|TGL|>abyugin	ʔ a b j u ɡ i n
<|TGL|>kandidatura	k a n d i d a t u ɾ a
<|TGL|>entremetido	ʔ e n t ɾ e m e t i d o
<|TGL|>dinagipik	d i n a ɡ i p i k
<|TGL|>hukuman	h u k u m a n
<|TGL|>manlait	m a n l a ʔ i t
<|TGL|>singaw	s i ŋ a w
<|TGL|>Closa	k l o s a
<|TGL|>kumpensasyon	k u m p e n s a s j o n
<|TGL|>Layco	l a j k o
<|TGL|>Aliga	ʔ a l i ɡ a
<|TGL|>taglamig	t a ɡ l a m i ɡ
<|TGL|>arkitektura	ʔ a ɾ k i t e k t u ɾ a
<|TGL|>sawil	s a w i l
<|TGL|>pasma	p a s m a
<|TGL|>peryodista	p e ɾ j o d i s t a
<|TGL|>bini	b i n i ʔ
<|TGL|>humiram	h u m i ɾ a m
<|TGL|>Asistio	ʔ a s i s t j o
<|TGL|>yumanig	j u m a n i ɡ
<|TGL|>Barbie	b a ɾ b i
<|TGL|>timayok	t i m a j o k
<|TGL|>Pansol	p a n s o l
<|TGL|>Tagaytay	t a ɡ a j t a j
<|TGL|>Ruedas	ɾ u e d a s
<|TGL|>magbasanlot	m a ɡ b a s a n l o t
<|TGL|>ipatapon	ʔ i p a t a p o n
<|TGL|>polaynas	p o l a j n a s
<|TGL|>Maloles	m a l o l e s
<|TGL|>isakay	ʔ i s a k a j
<|TGL|>Pinagkaisahan	p i n a ɡ k a ʔ i s a h a n
<|TGL|>kutsukutso	k u ˌt͡ʃ u k u t͡ʃ o
<|TGL|>halimbawa	h a l i m b a w a ʔ
<|TGL|>mamilis	m a m i l i s
<|TGL|>muhala	m u h a l a ʔ
<|TGL|>mamaya	m a m a j a ʔ
<|TGL|>taludtod	t a l u d t o d
<|TGL|>lalawigan	l a l a w i ɡ a n
<|TGL|>maghati	m a ɡ h a t i ʔ
<|TGL|>suhol	s u h o l
<|TGL|>ragsak	ɾ a ɡ s a k
<|TGL|>radyo	ɾ a d j o
<|TGL|>mabalasik	m a b a l a s i k
<|TGL|>talang	t a l a ŋ
<|TGL|>budhi	b u d h i ʔ
<|TGL|>umusbong	ʔ u m u s b o ŋ
<|TGL|>alahero	ʔ a l a h e ɾ o
<|TGL|>kaalit	k a ʔ a l i t
<|TGL|>maabo	m a ʔ a b o
<|TGL|>dengge	d e ŋ ɡ e
<|TGL|>karelyebo	k a ɾ e l j e b o
<|TGL|>sabi	s a b i
<|TGL|>tarang	t a ɾ a ŋ
<|TGL|>Soledad	s o l e d a d
<|TGL|>marites	m a ɾ i t e s
<|TGL|>heneral	h e n e ɾ a l
<|TGL|>Kankanaey	k a n k a n a ʔ e j
<|TGL|>Cueto	k u e t o
<|TGL|>yakyak	j a k j a k
<|TGL|>lahi	l a h i ʔ
<|TGL|>daungan	ˌd a ʔ u ŋ a n
<|TGL|>magkaaway	m a ɡ k a ʔ a w a j
<|TGL|>adres	ʔ a d ɾ e s
<|TGL|>traidor	t ɾ a j d o ɾ
<|TGL|>ayon	ʔ a j o n
<|TGL|>iskul	ʔ i s k u l
<|TGL|>talibas	t a l i b a s
<|TGL|>Marulas	m a ɾ u l a s
<|TGL|>deliryo	d e l i ɾ j o
<|TGL|>pagkasuplado	p a ɡ k a s u p l a d o
<|TGL|>pribilehiyo	p ɾ i b i l e h i o
<|TGL|>rotonda	ɾ o t o n d a
<|TGL|>'di	d i ʔ
<|TGL|>kita	k i t a
<|TGL|>pampanitikan	p a m p a n i t i k a n
<|TGL|>Nadine	n a d i n
<|TGL|>talunton	t a l u n t o n
<|TGL|>hapit	h a p i t
<|TGL|>Soliven	s o l i v e n
<|TGL|>magbababoy	m a ɡ b a b a b o j
<|TGL|>bayad	b a j a d
<|TGL|>gumimik	ɡ u m i m i k
<|TGL|>aksiyon	ʔ a k s i o n
<|TGL|>tindalo	t i n d a l o ʔ
<|TGL|>kaanib	k a ʔ a n i b
<|TGL|>balandra	b a l a n d ɾ a
<|TGL|>ekselensiya	ʔ e k s e l e n s j a
<|TGL|>telepatiya	t e l e p a t i a
<|TGL|>tuma	t u m a
<|TGL|>bertebrado	b e ɾ t e b ɾ a d o
<|TGL|>pasukan	p a s u k a n
<|TGL|>Pagaspas	p a ɡ a s p a s
<|TGL|>Tarnate	t a ɾ n a t e
<|TGL|>komplikasyon	k o m p l i k a s j o n
<|TGL|>ahon	ʔ a h o n
<|TGL|>elye	ʔ e l j e
<|TGL|>tatagukan	t a t a ɡ u k a n
<|TGL|>dagsa	d a ɡ s a ʔ
<|TGL|>Montecillo	m o n t e s i l j o
<|TGL|>personal	p e ɾ s o n a l
<|TGL|>banyas	b a n j a s
<|TGL|>'ka	k a ʔ
<|TGL|>istorbo	ʔ i s t o ɾ b o
<|TGL|>lugo	l u ɡ o
<|TGL|>bira	b i ɾ a
<|TGL|>Manaois	m a n a w i s
<|TGL|>sikologo	s i k o l o ɡ o
<|TGL|>katre	k a t ɾ e
<|TGL|>Ticzon	t i k s o n
<|TGL|>anislag	ʔ a n i s l a ɡ
<|TGL|>tiyahin	t i a h i n
<|TGL|>oso	ʔ o s o
<|TGL|>Pederio	p e d e ɾ j o
<|TGL|>gamutin	ɡ a m u t i n
<|TGL|>Villamayor	v i l j a m a j o ɾ
<|TGL|>inaabisuhan	ʔ i n a ʔ a b i s u h a n
<|TGL|>Lucero	l u s e ɾ o
<|TGL|>pagnanakaw	p a ɡ n a n a k a w
<|TGL|>kubil	k u b i l
<|TGL|>sangkatauhan	s a ŋ k a t a ʔ u h a n
<|TGL|>Dimailig	d i m a ʔ i l i ɡ
<|TGL|>kubtangkas	k u b t a ŋ k a s
<|TGL|>karbungkulo	k a ɾ b u ŋ k u l o
<|TGL|>empirisismo	ˌʔ e m p i ɾ i s i s m o
<|TGL|>puwente	p u e n t e
<|TGL|>ani	ʔ a n i
<|TGL|>iglesya	ʔ i ɡ l e s j a
<|TGL|>palaman	p a l a m a n
<|TGL|>Pekto	p e k t o
<|TGL|>bakawan	b a k a w a n
<|TGL|>husto	h u s t o
<|TGL|>peste	p e s t e
<|TGL|>gagad	ɡ a ɡ a d
<|TGL|>marungis	m a ɾ u ŋ i s
<|TGL|>sinigwelas	s i n i ɡ w e l a s
<|TGL|>salalay	s a l a l a j
<|TGL|>ikalawa	ʔ i k a l a w a
<|TGL|>Tupas	t u p a s
<|TGL|>Peñaflor	p e ɲ a f l o ɾ
<|TGL|>kidsulid	k i d s u l i d
<|TGL|>maarte	m a ʔ a ɾ t e
<|TGL|>Kiamzon	k i a m s o n
<|TGL|>puna	p u n a
<|TGL|>Eloriaga	ʔ e l o ɾ j a ɡ a
<|TGL|>tumawag	t u m a w a ɡ
<|TGL|>relohero	ɾ e l o h e ɾ o
<|TGL|>humatsing	h u m a t͡ʃ i ŋ
<|TGL|>alog	ʔ a l o ɡ
<|TGL|>tsok	t͡ʃ o k
<|TGL|>Bolivar	b o l i v a ɾ
<|TGL|>taklab	t a k l a b
<|TGL|>alimuran	ʔ a l i m u ɾ a n
<|TGL|>tuyo	t u j o ʔ
<|TGL|>wangis	w a ŋ i s
<|TGL|>haka	h a k a ʔ
<|TGL|>ligis	l i ɡ i s
<|TGL|>mantala	m a n t a l a
<|TGL|>okasyon	ʔ o k a s j o n
<|TGL|>Cayabyab	k a j a b j a b
<|TGL|>pulseras	p u l s e ɾ a s
<|TGL|>bisaklat	b i s a k l a t
<|TGL|>Ty	t i
<|TGL|>masiba	m a s i b a ʔ
<|TGL|>nakayukyok	n a k a j u k j o k
<|TGL|>abiso	ʔ a b i s o
<|TGL|>samakatwid	s a m a k a t w i d
<|TGL|>asnan	ʔ a s n a n
<|TGL|>magyaya	m a ɡ j a j a ʔ
<|TGL|>sabak	s a b a k
<|TGL|>Haw	h a w
<|TGL|>krimen	k ɾ i m e n
<|TGL|>lapastanganin	l a p a s t a ŋ a n i n
<|TGL|>talukab	t a l u k a b
<|TGL|>bulalayak	ˌb u l a l a j a k
<|TGL|>yumurak	j u m u ɾ a k
<|TGL|>panggang	p a ŋ ɡ a ŋ
<|TGL|>gilid	ɡ i l i d
<|TGL|>burara	b u ɾ a ɾ a ʔ
<|TGL|>Sobrepeña	s o b ɾ e p e ɲ a
<|TGL|>arok	ʔ a ɾ o k
<|TGL|>bakuran	b a k u ɾ a n
<|TGL|>dayan	d a j a n
<|TGL|>sentimo	ˌs e n t i m o
<|TGL|>samaral	s a m a ɾ a l
<|TGL|>saksakin	s a k s a k i n
<|TGL|>X	ʔ e k s
<|TGL|>linatsay	l i n a t͡ʃ a j
<|TGL|>tate	t a t e ʔ
<|TGL|>pagkabigo	p a ɡ k a b i ɡ o ʔ
<|TGL|>historikal	h i s t o ɾ i k a l
<|TGL|>Kurisma	k u ɾ i s m a
<|TGL|>sinaing	s i n a ʔ i ŋ
<|TGL|>agwahas	ʔ a ɡ w a h a s
<|TGL|>entusyasmo	ʔ e n t u s j a s m o
<|TGL|>obligasyon	ʔ o b l i ɡ a s j o n
<|TGL|>nanamantala	n a n a m a n t a l a
<|TGL|>hangad	h a ŋ a d
<|TGL|>Montenegro	m o n t e n e ɡ ɾ o
<|TGL|>mangaliwa	m a ŋ a l i w a ʔ
<|TGL|>protina	p ɾ o t i n a
<|TGL|>giba	ɡ i b a ʔ
<|TGL|>persigido	p e ɾ s i ɡ i d o
<|TGL|>maanggo	m a ʔ a ŋ ɡ o
<|TGL|>Nagtalon	n a ɡ t a l o n
<|TGL|>Clarence	k l a ɾ e n s
<|TGL|>tugya	t u ɡ j a ʔ
<|TGL|>ebakwasyon	ʔ e b a k w a s j o n
<|TGL|>tipaklong	t i p a k l o ŋ
<|TGL|>limahi	l i m a h i ʔ
<|TGL|>paboritismo	p a b o ɾ i t i s m o
<|TGL|>termos	t e ɾ m o s
<|TGL|>Nagcarlan	n a ɡ k a ɾ l a n
<|TGL|>kalyos	k a l j o s
<|TGL|>kuwa	k u a ʔ
<|TGL|>yaon	j a ʔ o n
<|TGL|>alangan	ʔ a l a ŋ a n
<|TGL|>letmaku	l e t m a k u
<|TGL|>kulugo	k u l u ɡ o
<|TGL|>Fariñas	f a ɾ i ɲ a s
<|TGL|>heko	h e k o
<|TGL|>Majayjay	m a h a j h a j
<|TGL|>arsilya	ʔ a ɾ s i l j a
<|TGL|>rito	ɾ i t o
<|TGL|>par	p a ɾ
<|TGL|>Bascoguin	b a s k o ɡ i n
<|TGL|>bulilyaso	b u l i l j a s o
<|TGL|>datiles	ˌd a t i l e s
<|TGL|>isangkot	ʔ i s a ŋ k o t
<|TGL|>pastilyas	p a s t i l j a s
<|TGL|>gumising	ɡ u m i s i ŋ
<|TGL|>sakal	s a k a l
<|TGL|>pulburon	p u l b u ɾ o n
<|TGL|>kadugo	k a d u ɡ o ʔ
<|TGL|>Nelson	n e l s o n
<|TGL|>Chiyoko	t͡ʃ i o k o
<|TGL|>hupa	h u p a ʔ
<|TGL|>Anor	ʔ a n o ɾ
<|TGL|>tigmata	t i ɡ m a t a
<|TGL|>ipakita	ʔ i p a k i t a
<|TGL|>dating	d a t i ŋ
<|TGL|>kasulatan	k a s u l a t a n
<|TGL|>Vecino	v e s i n o
<|TGL|>libid	l i b i d
<|TGL|>manlibak	m a n l i b a k
<|TGL|>kosta	k o s t a
<|TGL|>labintador	l a b i n t a d o ɾ
<|TGL|>kasera	k a s e ɾ a
<|TGL|>arsobispo	ʔ a ɾ s o b i s p o
<|TGL|>hayop	h a j o p
<|TGL|>magpaskil	m a ɡ p a s k i l
<|TGL|>sota	s o t a
<|TGL|>tokaya	t o k a j a
<|TGL|>echosera	ʔ e t͡ʃ o s e ɾ a
<|TGL|>propesora	p ɾ o p e s o ɾ a
<|TGL|>umiintindi	ʔ u m i ʔ i n t i n d i
<|TGL|>payamanin	p a j a m a n i n
<|TGL|>irekomenda	ʔ i ɾ e k o m e n d a
<|TGL|>koral	k o ɾ a l
<|TGL|>singki	s i ŋ k i ʔ
<|TGL|>timos	t i m o s
<|TGL|>amot	ʔ a m o t
<|TGL|>ugaga	ʔ u ɡ a ɡ a ʔ
<|TGL|>akbay	ʔ a k b a j
<|TGL|>panananim	p a n a n a n i m
<|TGL|>pakpak	p a k p a k
<|TGL|>Libra	l i b ɾ a
<|TGL|>kasalukuyan	k a s a l u k u j a n
<|TGL|>imperatibo	ʔ i m p e ɾ a t i b o
<|TGL|>asawa	ʔ a s a w a
