aare	ɑ ɹ ə
tamp	t æ m p
tankard	t æ ŋ k ɚ d
tape	t e ɪ̯ p
tariff	t ɛ ɹ ɪ f
tarnation	t ɑ ɹ n e ɪ ʃ ə n
tases	t e ɪ z ɪ z
tass	t æ s
tasted	t e ɪ s t ɪ d
teetotaling	t i t o ʊ t ə l ɪ ŋ
teh	t ɛ
telekong	t ə l ə k o ŋ
telekung	t ə l ə k u ŋ
teleophyte	t ɛ l i o ʊ f a ɪ t
telepathetic	t ɛ l ə p ə t h ɛ t ɪ k
telepathetically	t ɛ l ə p ə θ ɛ t ɪ k l i
telmisartan	t ɛ l m ɪ s ɑ ɹ t ə n
tenecteplase	t ə n ɛ k t ə p l e ɪ s
tenent	t ɛ n ɛ n t
tennessine	t ɛ n ə s i n
tense	t ɛ n s
tenure	t ɛ n j ɚ
termagant	t ɚ m ə ɡ ə n t
terminate	t ɝ m ɪ n e ɪ t
tetraoxanes	t ɛ t ɹ ə ɔ k s e ɪ n z
thad	θ æ d
thalia	θ ə l a ɪ ə
tham	t ʌ m
thankful	θ æ ŋ k f ə l
thatcherite	θ æ t͡ʃ ə ɹ a ɪ t
theocentric	θ i o ʊ s ɛ n t ɹ ɪ k
thereto	ð ɛ ɚ t u
theseus	θ i s i ə s
thiol	θ a ɪ ɔ l
thought	θ ɔ t
thrace	θ ɹ e ɪ s
threatened	θ ɹ ɛ t n̩ d
threatening	θ ɹ ɛ t n̩ ɪ ŋ
thrombospondin	θ ɹ ɑ m b o ʊ s p ɑ n d ɪ n
thrusts	θ ɹ ʌ s t s
tie	t a ɪ
tigris	t a ɪ ɡ ɹ ɪ s
timaru	t ɪ m ə ɹ u
timber	t ɪ m b ɚ
timbrel	t ɪ m b ɹ ə l
timorous	t ɪ m ə ɹ ə s
tint	t ɪ n t
titan	t a ɪ t ə n
titer	t a ɪ t ɚ
tolvaptan	t ɑ l v æ p t ə n
tonicity	t ə n ɪ s ɪ t i
tooter	t u t ə r
toothpick	t u θ p ɪ k
toothy	t u θ i
topeka	t ə p i k ə
topology	t ə p ɑ l ə d͡ʒ i
toque	t o ʊ k
torah	t ɔ ɹ ɑ
tornado	t ɔ ɹ n e ɪ d o ʊ
tother	t ʌ ð ə ɹ
touchdown	t ʌ t͡ʃ d a ʊ n
traitor	t ɹ e ɪ t ɚ
transcendence	t ɹ æ n t s ɛ n d ə n s
transcendental	t ɹ æ n s ɛ n d ɛ n t ə l
transwell	t ɹ æ n z w ɛ l
tray	t ɹ e ɪ
tregear	t ɹ ə ɡ ɪ ə ɹ
tren	t ɹ ɛ n
trendy	t ɹ ɛ n d i
trepidation	t ɹ ɛ p ɪ d e ɪ ʃ ə n
triamterene	t ɹ a ɪ æ m t ə ɹ i n
triathlon	t ɹ a ɪ æ θ l ɔ n
trifecta	t ɹ a ɪ f ɛ k t ə
trig	t ɹ ɪ ɡ
trillion	t ɹ ɪ l j ə n
trinketry	t ɹ ɪ ŋ k ɪ t ɹ i
triptote	t ɹ ɪ p t o ʊ t
tritone	t͡ʃ ɹ a ɪ t o ʊ n
trowel	t ɹ a ʊ ə l
tsipouro	t s ɪ p ʊ ɹ o ʊ
tuatapere	t u ɑ t a p ə ɹ i
tugboat	t ʌ ɡ b o ʊ t
tumbrel	t ʌ m b ɹ ə l
tunes	t j ʉː n s
tunis	t u n ə s
turbid	t ɜ ɹ b ɪ d
turkman	t ɜ ɹ k m ə n
tweeter	t w i t ɚ
twite	t w a ɪ t
typing	t a ɪ p ɪ ŋ
tyres	t a ɪ ə ɹ z
uefa	j u e ɪ f ə
ultramarine	ʌ l t ɹ ə m ə ɹ i n
umgang	ʌ m ɡ a ŋ
unbeknownst	ʌ n b ɪ n o ʊ n s t
uncaged	ʌ n k e ɪ d͡ʒ d
underarm	ʌ n d ɚ ɑ ɹ m
unenabled	ʌ n ə n e ɪ b ə l d
unesco	j u n ɛ s k o ʊ
unexpectedly	ʌ n ɪ k s p ɛ k t ɪ d l i
unfriendly	ʌ n f ɹ ɛ n d l i
unredressable	ʌ n ɹ ɪ d ɹ ɛ s ə b ə l
unvitiated	ʌ n v ɪ ʃ i e ɪ t ɪ d
uphold	ʌ p h o l d
uptalking	ə p t ɔ k ɪ ŋ
urethra	j ʊ ɹ i θ ɹ ə
uterus	j u t ə ɹ ə s
uxoricide	ʌ k s ɔ ɹ ɪ s a ɪ d
valiant	v æ l j ə n t
valleys	v æ l i z
vancomycin	v æ ŋ k ə m a ɪ s ɪ n
vanish	v æ n ɪ ʃ
vaticination	v ə t ɪ s ɪ n e ɪ ʃ ə n
vega	v e ɪ ɡ ə
vegeburger	v ɛ d͡ʒ i b ɜ ɹ ɡ ə ɹ
vegetal	v ɛ d͡ʒ ɪ̈ t l̩
venda	v ɛ n d ə
venomous	v ɛ n ə m ə s
verdure	v ɜ d͡ʒ ɚ
veridical	v ə ɹ ɪ d ɪ k ə l
vetter	v ɛ t ɚ
vicegerency	v a ɪ s d͡ʒ ɪ ə ɹ ə n t s i
victories	v ɪ k t ə ɹ i z
vig	v ɪ ɡ
vigil	v ɪ d͡ʒ ə l
vigneron	v i n j ə ɹ ɔ̃
violoncello	v a ɪ ə l ə n t͡ʃ ɛ l o ʊ
virtuous	v ɝ t͡ʃ u ə s
vivid	v ɪ v ɪ d
vivifying	v ɪ v ɪ f ʌ ɪ ŋ
volley	v ɔ l i
voltaic	v ɔ l t e ɪ ɪ k
vorozole	v ɔ ɹ ə z o ʊ l
wabash	w ɑ b æ ʃ
wack	w æ k
wallaby	w ɑ l ə b i
wasp	w ɑ s p
watercress	w ɔ t ə ɹ k ɹ ɛ s
waving	w e ɪ v ɪ ŋ
waxy	w æ k s i
weaken	w i k ə n
weaponize	w ɛ p ə n a ɪ z
welly	w ɛ l i
welwyn	w ɛ l ɪ n
wharfage	w ɔ ɹ f ɪ d͡ʒ
whiffle	w ɪ f l̩
whooshy	w u ʃ i
whyja	w a ɪ d͡ʒ ə
wicky	w ɪ k i
wilton	w ɪ l t ə n
windage	w ɪ n d ɪ d͡ʒ
winner	w ɪ n ɚ
wiper	w a ɪ p ɚ
withers	w ɪ ð ɚ z
woken	w o ʊ k ə n
woman	w ʊ m ə n
wonder	w ʌ n d ɚ
working	w ɝ k ɪ ŋ
woundable	w u n d ə b ə l
wrath	ɹ æ θ
wrexham	ɹ ɛ k s ə m
wronged	ɹ ɔ ŋ d
wushu	w u ʃ u
wuss	w ʊ s
wuvz	w ʌ v z
xining	ʃ i n ɪ ŋ
yank	j æ ŋ k
yare	j ɛ ɹ
yeovil	j o ʊ v ɪ l
yerevanian	j e ɹ ə v ɑ n i ə n
yeung	j ʌ ŋ
yoicks	j ɔ ɪ k s
yonic	j o ʊ n ɪ k
zed	z ɛ d
zelensky	z ɪ l ɛ n s k i
zerk	z ɝ k
zetetic	z ə t ɛ t ɪ k
zillionths	z ɪ l j ə n θ s
zine	z i n
zinefan	z i n f æ n
zipper	z ɪ p ɚ
ziti	z i t i
zoologist	z o ʊ ɑ l ə d͡ʒ ɪ s t
zowie	z a ʊ ɪ
zythology	z a ɪ θ ɔ l ə d͡ʒ i
