aare	ɑ ɹ ə
mockery	m ɑ k ə ɹ i
modernize	m ɑ d ɚ n a ɪ z
modulo	m ɔ d͡ʒ ə l o ʊ
modus	m o ʊ d ə s
mogwai	m ɔ ɡ w a ɪ
moil	m ɔ ɪ l
molestation	m o ʊ l ɪ s t e ɪ ʃ ə n
monaco	m ɑ n ə k o ʊ
monadnock	m ə n æ d n ɔ k
monoclonal	m ɑ n ə k l o ʊ n ə l
montpellier	m ɔ n p ɛ l i e ɪ
montseny	m ɔ n t s e ɪ n
moonwalk	m u n w ɔ k
moos	m u z
morass	m ə ɹ æ s
morisco	m ə r ɪ s k o ʊ
mosey	m o ʊ z i
motel	m o ʊ t ɛ l
mowed	m o ʊ d
much	m ʌ t͡ʃ
mud	m ʌ d
muggins	m ʌ ɡ ɪ n z
mundialization	m ɑ n d i ə l ə z e ɪ ʃ ə n
munificence	m j u n ɪ f ɪ s ə n s
munshi	m u n ʃ i
muskrat	m ʌ s k ɹ æ t
mussolini	m ʊ s ə l i n i
mutable	m j u t ə b l̩
mutter	m ʌ t ɚ
myeloid	m a ɪ ə l ɔ ɪ d
myob	ɛ m w a ɪ o ʊ b i
myoglobinemia	m a ɪ o ʊ ɡ l o ʊ b ɪ n i m i ə
mystic	m ɪ s t ɪ k
myvyrian	m i v ɪ ɹ i ə n
nabal	n e ɪ b ə l
naltrexone	n æ l t ɹ ɛ k s o ʊ n
naming	n e ɪ m ɪ ŋ
nandrolone	n æ n d ɹ ə l o ʊ n
nanson	n æ n s ə n
nanterre	n ɑ n t ɛ ɹ
narrowly	n ɛ ɹ o ʊ l i
natation	n æ t e ɪ ʃ ə n
nate	n e ɪ t
nazareth	n æ z ə ɹ ə θ
ncaa	ɛ n s i e ɪ e ɪ
neat	n i t
neb	n ɛ b
nectar	n ɛ k t ə ɹ
need	n i d
needful	n i d f ə l
needs	n i d z
nefopam	n ɛ f ə p æ m
neglection	n ə ɡ l ɛ k ʃ ə n
negus	n i ɡ ə s
neil	n i l
neonism	n i ə n ɪ z ə m
nephite	n i f a ɪ t
nepotic	n ə p ɔ t ɪ k
nepoticide	n ə p ɑ t ə s a ɪ d
nerd	n ɝ d
nervy	n ɝ v i
netter	n ɛ t ə ɹ
neutral	n u t ɹ ə l
neverendum	n ɛ v ɚ ɛ n d ə m
neville	n ɛ v ə l
newcastle	n j u k æ s l̩
newman	n u m ə n
nifurtimox	n a ɪ f ɝ t ɪ m ɑ k s
niggery	n ɪ ɡ ə ɹ i
nighness	n a ɪ n ə s
nintendo	n ɪ n t ɛ n d o ʊ
niobium	n a ɪ o ʊ b i ə m
nithing	n a ɪ ð ɪ ŋ
nob	n ɑ b
nobility	n o ʊ b ɪ l ɪ t i
nog	n ɔ ɡ
nogai	n o ʊ ɡ a ɪ
nominalize	n ɑ m ə n ə l a ɪ z
noscapine	n ɑ s k ə p i n
noticeable	n o ʊ t ɪ s ə b l̩
nougat	n u ɡ ə t
noughties	n ɔ t i z
november	n o ʊ v ɛ m b ə ɹ
novembers	n o ʊ v ɛ m b ɚ z
npd	ɛ n p i d i
nth	ɛ n θ
nuclide	n j u k l a ɪ d
nulls	n ʌ l z
numinous	n j u m ə n ə s
nyah	n j æ
obex	o ʊ b ɛ k s
obliviality	ə b l ɪ v i æ l ɪ t i
obsecratory	ɑ b s ɛ k ɹ ə t ɔ ɚ ɹ i
obsequious	ə b s i k w i ə s
obstinacy	ɑ b s t ɪ n ə s i
obviative	ɔ b v i ə t ɪ v
occupied	ɑ k j ə p a ɪ d
octad	ɑ k t æ d
octobers	ɑ k t o ʊ b ɚ z
octosyllabic	ɑ k t o ʊ s ɪ l æ b ɪ k
octyne	ɔ k t a ɪ n
offend	ə f ɛ n d
oiler	ɔ ɪ l ɚ
ok	o ʊ k e ɪ
oligophrenia	ɔ l ɪ ɡ o ʊ f ɹ i n ɪ ə
olson	o ʊ l s ə n
omohyoid	o ʊ m o ʊ h a ɪ ɔ ɪ d
onchocerciasis	ɔ ŋ k ə s ɜ k a ɪ ə s ɪ s
oneirocritic	o ʊ n a ɪ ɹ ə k ɹ ɪ t ɪ k
oneironautics	o ʊ n a ɪ ɹ o ʊ n ɔ t ɪ k s
onymous	ɑ n ɪ m ə s
oov	u v
opacate	o ʊ p ə k e ɪ t
openly	o ʊ p ə n l i
optimation	ɔ p t ɪ m e ɪ ʃ ə n
optimum	ɑ p t ɪ m ə m
orangeat	ɔ ɹ æ n ʒ æ t
orcus	ɔ r k ə s
orfe	ɔ f
organum	ɔ ɹ ɡ ə n ə m
orotundity	ɔ ɹ ə t ʌ n d ɪ t i
orr	ɔ ɹ
ossify	ɑ s ə f a ɪ
ossining	ɔ s i n ɪ ŋ
ostensibly	ɑ s t ɛ n s ə b l i
ostentation	ɔ s t ə n t e ɪ ʃ ə n
ostrichism	ɑ s t ɹ i t͡ʃ ɪ z ə m
otira	o ʊ t ɪ ɹ ɑ
ouagadougou	w ɑ ɡ ə d u ɡ u
ouguiya	u ɡ i j ə
outwind	a ʊ t w a ɪ n d
ovation	o ʊ v e ɪ ʃ ə n
overact	o ʊ v ə ɹ æ k t
overawe	o ʊ v ɚ ɔ
overdraft	o ʊ v ɚ d ɹ æ f t
overemotional	o ʊ v ə ɹ i m o ʊ ʃ ə n ə l
overlive	o ʊ v ə ɹ l ɪ v
overnourished	o ʊ v ɚ n ʌ ɹ ɪ ʃ t
overnutrition	o ʊ v ə ɹ n j u t ɹ ɪ ʃ ə n
overproof	o ʊ v ɚ p ɹ u f
overshadow	o ʊ v ɚ ʃ æ d o ʊ
oversolicitous	o ʊ v ɚ s ə l ɪ s ɪ ɾ ə s
overspecialization	o ʊ v ɚ s p ɛ ʃ ə l ɪ z e ɪ ʃ n̩
overstuffed	o ʊ v ɚ s t ʌ f t
overview	o ʊ v ə ɹ v j u
overwhelmed	o ʊ v ɚ w ɛ l m d
overzealous	ə͡ʊ v ə z ɛ l ə s
owns	o ʊ n z
oxfendazole	ɔ k s f ɛ n d ə z o ʊ l
oxycodone	ɑ k s ɪ k o ʊ d o ʊ n
oxymethazoline	ɑ k s ɪ m ə θ æ z ə l i n
paan	p ɑ n
paca	p æ k ə
packet	p æ k ɪ t
pact	p æ k t
page	p e ɪ d͡ʒ
paginate	p æ d͡ʒ ə n e ɪ t
pagination	p æ d͡ʒ ə n e ɪ ʃ ə n
paint	p e ɪ n t
painting	p e ɪ n t ɪ ŋ
paladin	p æ l ə d ɪ n
palau	p ə l a ʊ
panendeistic	p æ n ɛ n d i ɪ s t ɪ k
panes	p e ɪ n z
pansentience	p æ n s ɛ n ʃ ə n s
pantheists	p æ n t h i ĭ s t s
pantries	p æ n t ɹ i z
paraenesis	p ə ɹ i n ɪ s ɪ s
paramour	p æ ɹ ə m ɔ ɹ
paraxonic	p æ ɹ ə k s ɔ n ɪ k
parchment	p ɑ ɹ t͡ʃ m ə n t
parfilage	p ɑ ɹ f ɪ l ɑ ʒ
parity	p æ ɹ ɪ t i
paroxetine	p ə ɹ ɑ k s ə t i n
participation	p ɑ ɹ t ɪ s ɪ p e ɪ ʃ ə n
particularly	p ə t ɪ k j ə l ɚ l i
parting	p ɑ ɹ t ɪ ŋ
passively	p æ s ɪ v l i
pasture	p æ s t͡ʃ ɚ
pater	p e ɪ t ɚ
patientive	p e ɪ ʃ ə n t ɪ v
patroon	p ə t ɹ u n
patting	p æ t ɪ ŋ
patz	p e ɪ t s
paving	p e ɪ v ɪ ŋ
payer	p e ɪ ɚ
peach	p i t͡ʃ
peacocking	p i k ɑ k ɪ ŋ
peasants	p ɛ z ə n t s
peashooter	p i ʃ u t ə ɹ
pebbles	p ɛ b ə l z
peck	p ɛ k
pedagogic	p ɛ d ə ɡ ɑ d͡ʒ ɪ k
peddle	p ɛ d ə l
pee	p i
peeves	p i v z
pembrokeshire	p ɛ m b ɹ ʊ k ʃ ə ɹ
pennon	p ɛ n ə n
peptics	p ɛ p t ɪ k s
percept	p ɝ s ɛ p t
perfidious	p ɚ f ɪ d i ə s
periegete	p ɛ ɹ i ə d͡ʒ i t
periodical	p ɪ ɹ i ɑ d ɪ k l̩
pernicious	p ɚ n ɪ ʃ ə s
perpetual	p ɚ p ɛ t͡ʃ u ə l
perpetually	p ɚ p ɛ t͡ʃ u ə l i
perseverate	p ɚ s ɛ v ə ɹ e ɪ t
personae	p ɜ ɹ s o ʊ n i
pert	p ɝ t
perth	p ɝ θ
perverter	p ə ɹ v ɜ ɹ t ə ɹ
pestled	p ɛ s ə l d
petalous	p ɛ t ə l ə s
petrifactive	p ɛ t ɹ ɪ f æ k t ɪ v
pettywhin	p ɛ t i w ɪ n
pfaffian	f æ f ɪ ə n
phallus	f æ l ə s
phillip	f ɪ l ɪ p
phinary	f a ɪ n ə ɹ i
phonologisation	f ə n ɔ l ə d͡ʒ a ɪ z e ɪ ʃ ə n
phosphomonoesterase	f ɑ s f o ʊ m ɑ n o ʊ ɛ s t ə ɹ e ɪ s
phosphorus	f ɑ s f ɚ ə s
phrenitis	f ɹ ə n a ɪ d ə s
phrygian	f ɹ ɪ d͡ʒ ɪ ə n
picene	p a ɪ s i n
picnics	p ɪ k n ɪ k s
piggott	p ɪ ɡ ə t
pilate	p a ɪ l ə t
piles	p a ɪ l z
pilled	p ɪ l d
pima	p i m ə
pincer	p ɪ n s ə ɹ
piquing	p i k ɪ ŋ
piscivore	p ɪ s ɪ v ɔ ɹ
pishogue	p ɪ ʃ o ʊ ɡ
pituitary	p ɪ t u ɪ t ɛ ɹ i
pixie	p ɪ k s i
placed	p l e ɪ s t
placenta	p l ə s ɛ n t ə
plag	p l æ d͡ʒ
plagiarist	p l e ɪ d͡ʒ ə ɹ ɪ s t
plainings	p l e ɪ n ɪ ŋ z
planchette	p l æ n ʃ ɛ t
plane	p l e ɪ n
planning	p l æ n ɪ ŋ
plasmid	p l æ z m ɪ d
plasterwork	p l æ s t ɚ w ɝ k
pleat	p l i t
plectrum	p l ɛ k t ɹ ə m
plesionym	p l i z ɪ ə n ɪ m
plogging	p l ɔ ɡ ɪ ŋ
ploy	p l ɔ ɪ
pluck	p l ʌ k
plugging	p l ʌ ɡ ɪ ŋ
pluranimous	p l ʊ ɹ æ n ɪ m ə s
pluvious	p l u v i ə s
pococurantism	p o ʊ k o ʊ k j ʊ ɹ æ n t ɪ z ə m
pokey	p o ʊ k i
polysemic	p ɔ l ɪ s i m ɪ k
polyzoa	p ɔ l i z o ʊ ə
pooped	p u p t
pork	p ɔ ɹ k
portentously	p ɔ t e n t ə s l i
portrayal	p ɔ ɹ t ɹ e ɪ ə l
positivism	p ɑ z ɪ t ɪ v ɪ z m
posology	p ə z ɑ l ə d͡ʒ i
possessions	p ə z ɛ ʃ ə n z
postdoc	p o ʊ s t d ɔ k
posts	p o ʊ s t s
postscript	p o ʊ s t s k ɹ ɪ p t
potatoes	p ə t e ɪ t o ʊ z
poulterer	p o ʊ l t ə ɹ ɚ
prairial	p ɹ ɛ ɹ j ɑ l
praisings	p ɹ e ɪ z ɪ ŋ z
prate	p ɹ e ɪ t
pratt	p ɹ æ t
precancerous	p ɹ i k æ n s ə ɹ ə s
preconsonantal	p ɹ i k ɔ n s ə n æ n t ə l
predilection	p ɹ ɛ d ə l ɛ k ʃ n̩
preengage	p r i ɪ n ɡ e ɪ d͡ʒ
prefect	p ɹ i f e k t
prefer	p ɹ ɪ f ɝ
preke	p ɹ i k
prelect	p ɹ ɪ l ɛ k t
prenup	p ɹ i n ʌ p
preoccupy	p ɹ i ɑ k j u p a ɪ
presbytery	p ɹ ɛ z b ɪ t ɛ ɹ i
prescriptive	p ɹ ɪ s k ɹ ɪ p t ɪ v
presented	p ɹ ɪ z ɛ n t ɪ d
presuit	p ɹ ɪ s j u t
prevention	p ɹ ɪ v ɛ n ʃ ə n
primitive	p ɹ ɪ m ɪ t ɪ v
prised	p ɹ a ɪ z d
prisoned	p ɹ ɪ z ə n d
probability	p ɹ ɑ b ə b ɪ l ɪ ɾ i
procedures	p ɹ ə s i d͡ʒ ɚ s
proceeded	p ɹ ə s i d ɪ d
proclaimed	p ɹ o ʊ k l e ɪ m d
profile	p ɹ o ʊ f a ɪ l
profuseness	p ɹ o ʊ f j u s n ə s
prog	p ɹ ɔ ɡ
prognosis	p ɹ ɑ ɡ n o ʊ s ɪ s
programmatically	p ɹ o ʊ ɡ ɹ ə m æ t ɪ k ə l i
prolix	p ɹ o ʊ l ɪ k s
propane	p ɹ o ʊ p e ɪ n
proposed	p ɹ ə p o ʊ z d
proposition	p ɹ ɑ p ə z ɪ ʃ ə n
prosaic	p ɹ o ʊ z e ɪ ɪ k
prosaism	p ɹ o ʊ z e ɪ ɪ z ə m
prosperous	p ɹ ɑ s p ə ɹ ə s
protect	p ɹ ə t ɛ k t
protuberance	p ɹ o ʊ t u b ə ɹ ə n s
provide	p ɹ ə v a ɪ d
provisional	p ɹ ə v ɪ ʒ ə n ə l
prowl	p ɹ a ʊ l
prowled	p ɹ a ʊ l d
proximity	p ɹ ɑ k s ɪ m ɪ t i
psaki	s ɑ k i
psych	s a ɪ k
ptolemaic	t ɑ l ə m e ɪ ɪ k
publican	p ʌ b l ɪ k ə n
puffy	p ʌ f i
pug	p ʌ ɡ
puke	p j u k
pulleys	p ʊ l i z
pullulate	p ʌ l j ʊ l e ɪ t
pulverulent	p ʌ l v ɛ ɹ j ə l ə n t
pumps	p ʌ m p s
punishings	p ʌ n ɪ ʃ ɪ ŋ z
pursuing	p ɚ s u ɪ ŋ
pyramidal	p ɪ ɹ æ m ɪ d l̩
pyrophyte	p a ɪ ɹ ə f a ɪ t
qam	k j u e ɪ ɛ m
qinpu	t͡ʃ ɪ n p u
qiqihar	t͡ʃ i t͡ʃ i h ɑ
quacks	k w æ k s
quadriplegia	k w ɑ d ɹ ɪ p l i d͡ʒ ə
quaintly	k w e ɪ n t l i
quarl	k w ɔ ɹ l
quarry	k w ɔ ɹ i
que	k j u
queerdar	k w ɪ ɹ d ɑ ɹ
quesadilla	k e ɪ̯ s ə d i j ə
quicksilver	k w ɪ k s ɪ l v ɚ
quidnunc	k w ɪ d n ʌ ŋ k
quintillionth	k w ɪ n t ɪ l i ə n θ
quirn	k w ɜ ɹ n
quob	k w ɑ b
rabeprazole	ɹ ə b ɛ p ɹ ə z o ʊ l
rach	ɹ e ɪ t͡ʃ
radial	ɹ e ɪ d i ə l
radius	ɹ e ɪ d i ə s
radon	ɹ e ɪ d ɔ n
rafter	ɹ æ f t ə ɹ
rags	ɹ æ ɡ z
raining	ɹ e ɪ n ɪ ŋ
rains	ɹ e ɪ n z
ralphie	ɹ ɑ ɹ f i
rapunzel	ɹ ə p ʌ n z ə l
rats	ɹ æ t s
rattail	ɹ æ t t e ɪ l
ravage	ɹ æ v ɪ d͡ʒ
ravel	ɹ æ v ə l
ravening	ɹ æ v ə n ɪ ŋ
rawboned	ɹ ɔ b o ʊ n d
rawdon	ɹ ɔ d ə n
reaction	ɹ i æ k ʃ ə n
reaganomics	r e ɪ ɡ ə n ɑ m ɪ k s
realized	ɹ i ə l a ɪ z d
reamer	ɹ i m ə ɹ
reap	ɹ i p
rearward	ɹ ɪ ɹ w ɝ d
reason	ɹ i z ə n
reave	ɹ i v
rebellion	ɹ ɪ b ɛ l i ə n
rebutter	ɹ ɪ b ʌ t ɚ
recalcitrance	ɹ ɪ k æ l s ɪ t ɹ ə n s
receivability	ɹ ə s i v ɑ b ɪ l ɪ t i
recommend	ɹ ɛ k ə m ɛ n d
reconduct	ɹ i k ə n d ʌ k t
recrimination	ɹ i k ɹ ɪ m ə n e ɪ ʃ ə n
recto	ɹ ɛ k t o ʊ
redact	ɹ ɪ d æ k t
redebug	ɹ i d i b ʌ ɡ
redig	ɹ i d ɪ ɡ
reduce	ɹ ɪ d u s
reese	ɹ i s
regal	ɹ i ɡ ə l
regarding	ɹ ɪ ɡ ɑ ɹ d ɪ ŋ
regorge	ɹ ɪ ɡ ɔ ɹ d͡ʒ
regulating	ɹ ɛ ɡ j ə l e ɪ t ɪ ŋ
regurgitate	ɹ ɪ ɡ ɝ d͡ʒ ə t e ɪ t
related	ɹ ɪ l e ɪ t ɪ d
relation	ɹ ɪ l e ɪ ʃ ə n
relayed	ɹ i l e ɪ d
relexify	ɹ i l ɛ k s ə f a ɪ
relife	ɹ i l a ɪ̯ f
religiosity	ɹ ɪ l ɪ d͡ʒ ɪ ɑ s ə t i
remainder	ɹ ə m e ɪ n d ɚ
remission	ɹ ə m ɪ ʃ ə n
remover	ɹ ɪ m u v ɚ
remunerative	ɹ ɪ m j u n ə ɹ ə t ɪ v
renverse	ɹ ɪ n v ɜ ɹ s
rep	ɹ ɛ p
repug	ɹ ə p ə ɡ
reputation	ɹ ɛ p j ʊ t e ɪ ʃ ə n
reran	ɹ ɪ ɹ æ n
resentment	ɹ ɪ z ɛ n t m ə n t
resident	ɹ ɛ z ɪ d ə n t
resolute	ɹ ɛ z ə l j u t
resoundingly	ɹ ɪ z a ʊ n d ɪ ŋ l i
restricted	ɹ ɪ s t ɹ ɪ k t ɪ d
retent	ɹ ɪ t ɛ n t
revealed	ɹ ə v i l d
revel	ɹ ɛ v ə l
reverencer	ɹ ɛ v ə ɹ ɛ n s ɝ
reverent	ɹ ɛ v ɹ ə n t
revive	ɹ ɪ v a ɪ v
revolt	ɹ ɪ v o ʊ l t
rhebok	ɹ i b ɑ k
rhodium	ɹ o ʊ d i ə m
rhoten	ɹ o ʊ t n̩
rich	ɹ ɪ t͡ʃ
ridotto	ɹ ə d o ʊ t o ʊ
rif	ɹ ɪ f
ringed	ɹ ɪ ŋ d
roasted	ɹ o ʊ s t ɪ d
roger	ɹ ɑ d͡ʒ ɚ
romans	ɹ o ʊ m ə n z
romantic	ɹ o ʊ m æ n t ɪ k
ront	ɹ ɔ n t
roost	ɹ u s t
rotunda	ɹ o ʊ t ʌ n d ə
roughly	ɹ ʌ f l i
rub	ɹ ʌ b
rubato	r ə b ɑ t o ʊ
ruism	ɹ u ɪ z ə m
rundlet	ɹ ʌ n d l ə t
running	ɹ ʌ n ɪ ŋ
runway	ɹ ʌ n w e ɪ
rupert	ɹ u p ɚ t
ruption	ɹ ʌ p ʃ ə n
ruritanian	ɹ ʊ ɹ ɪ t e ɪ n i ə n
russet	ɹ ʌ s ɪ t
sabulous	s æ b j ʊ l ə s
sacless	s æ k l ə s
sacrament	s æ k ɹ ə m ə n t
sacrifices	s æ k ɹ ɪ f a ɪ s ɪ z
sadhu	s ɑ d h u
safe	s e ɪ f
sagacious	s ə ɡ e ɪ ʃ ə s
sailor	s e ɪ l ɚ
sakhalin	s æ k ə l i n
sallies	s æ l i z
salmon	s æ m ə n
salmonella	s æ l m ə n ɛ l ə
salsify	s æ l s ɪ f i
saltimbanco	s æ l t ɪ m b æ ŋ k o ʊ
salute	s ə l u t
sambadrome	s æ m b ə d ɹ o ʊ m
sanatory	s æ n ə t ɔ ɹ i
sancerre	s ɔ̃ n s ɛ ɹ
sandy	s æ n d i
sappho	s æ f o ʊ
sarcophagus	s ɑ ɹ k ɔ f ə ɡ ə s
sardinia	s ɑ ɹ d ɪ n i ə
sardonyx	s ɑ ɹ d ɔ n ɪ k s
satcoms	s a t k ɑ m z
sault	s u
saunter	s ɔ n t ɚ
savanna	s ə v æ n ə
savings	s e ɪ v ɪ ŋ z
savoy	s ə v ɔ ɪ
sawdust	s ɔ d ʌ s t
sawney	s ɔ n i
scab	s k æ b
scale	s k e ɪ l
scandal	s k æ n d ə l
scanty	s k æ n t i
schismatic	s k ɪ z m æ t ɪ k
schlepps	ʃ l ɛ p s
schmooze	ʃ m u z
scholarship	s k ɑ l ə ɹ ʃ ɪ p
sclerotic	s k l ɪ ɹ ɔ t ɪ k
scramble	s k ɹ æ m b l̩
scriptings	s k ɹ ɪ p t ɪ ŋ s
scrofula	s k ɹ ɔ f j ə l ə
scrotum	s k ɹ o ʊ t ə m
scrubber	s k ɹ ʌ b ɚ
seal	s i l
sealant	s i l ə n t
searches	s ɝ t͡ʃ ɪ z
seasoned	s i z ə n d
seater	s i t ɚ
sedate	s ə d e ɪ t
sedge	s ɛ d͡ʒ
sediment	s ɛ d ɪ m ə n t
seed	s i d
seemer	s i m ə ɹ
seemly	s i m l i
seems	s i m z
selectable	s ə l ɛ k t ə b l̩
selfish	s ɛ l f ɪ ʃ
semipermeable	s ɛ m i p ɜ ɹ m i ə b ə l
sensitive	s ɛ n s ɪ t ɪ v
sensorial	s ɛ n s ɔ ɹ i ə l
sentence	s ɛ n t ə n s
separated	s ɛ p ə ɹ e ɪ t ɪ d
sephirah	s ə f ɪ ɹ ə
sept	s ɛ p t
septendecillion	s ɛ p t ə n d ə s ɪ l i ə n
sequela	s ɪ k w i l ə
serf	s ɝ f
serious	s ɪ ə ɹ i ə s
serves	s ɝ v z
setiform	s i t ə f ɔ ɹ m
sextant	s ɛ k s t ə n t
shaggy	ʃ æ ɡ i
shamed	ʃ e ɪ m d
shameful	ʃ e ɪ m f ə l
shamefully	ʃ e ɪ m f ə l i
shampoo	ʃ æ m p u
share	ʃ ɛ ɹ
shash	ʃ æ ʃ
shed	ʃ ɛ d
sheen	ʃ i n
shells	ʃ ɛ l z
shergottite	ʃ ɚ ɡ ə t a ɪ t
sherut	ʃ e ɪ ɹ u t
shillelagh	ʃ ə l e ɪ l i
shipshape	ʃ ɪ p ʃ e ɪ p
shits	ʃ ɪ t s
shittle	ʃ ɪ t l̩
shock	ʃ ɑ k
shorn	ʃ ɔ ɹ n
shortfetched	ʃ ɔ ɹ t f ɛ t͡ʃ t
shout	ʃ a ʊ t
showing	ʃ o ʊ ɪ ŋ
shrubby	ʃ ɹ ʌ b i
shrugged	ʃ ɹ ʌ ɡ d
shrugging	ʃ ɹ ʌ ɡ ɪ ŋ
shtetl	ʃ t ɛ t ə l
sibilancy	s ɪ b ɪ l ə n s i
sibred	s ɪ b ɹ ə d
sibsey	s ɪ b z i
sickness	s ɪ k n ɪ s
sideways	s a ɪ d w e ɪ z
sidney	s ɪ d n i
sifter	s ɪ f t ɚ
sig	s ɪ ɡ
signary	s ɪ ɡ n ə ɹ i
signify	s ɪ ɡ n ɪ f a ɪ
sild	s ɪ l d
silent	s a ɪ l ə n t
silenus	s a ɪ l i n ə s
silflay	s ɪ l f l e ɪ
singing	s ɪ ŋ ɪ ŋ
singularity	s ɪ ŋ ɡ j ə l æ ɹ ə t ɪ
sinuous	s ɪ n j u ə s
sirocco	s ɪ ɹ ɔ k o ʊ
sissify	s ɪ s ɪ f a ɪ
sisters	s ɪ s t ɚ z
skamania	s k ə m e ɪ n i ə
skeevy	s k i v i
sketchy	s k ɛ t͡ʃ i
skiddy	s k ɪ d i
skilled	s k ɪ l d
skillet	s k ɪ l ɪ t
skirl	s k ɜ l
skum	s k ʌ m
skunk	s k ʌ ŋ k
skysill	s k a ɪ s ɪ l
slack	s l æ k
slapdash	s l æ p d æ ʃ
slashy	s l æ ʃ i
sleiveen	s l i v i n
slidey	s l a ɪ d i
slogan	s l o ʊ ɡ ə n
slowworm	s l o ʊ w ɜ ɹ m
sluff	s l ʌ f
slushy	s l ʌ ʃ i
smicker	s m ɪ k ə ɹ
smokehouse	s m o ʊ k h a ʊ s
smollett	s m ɑ l ə t
smoodge	s m u d͡ʒ
smorc	s m ɔ ɹ k
smudge	s m ʌ d͡ʒ
snacky	s n æ k i
snapin	s n æ p ɪ n
snatch	s n æ t͡ʃ
snelly	s n ɛ l i
snide	s n a ɪ d
snippety	s n ɪ p ɪ t i
snooze	s n u z
socking	s ɑ k ɪ ŋ
socle	s o ʊ k ə l
soiree	s w ɑ ɹ e ɪ
somalia	s ə m ɑ l i ə
somnifacient	s ɑ m n ə f e ɪ ʃ ə n t
sonero	s ə n ɛ ɹ o ʊ
soprano	s ə p ɹ æ n o ʊ
sorbet	s ɔ ɹ b e ɪ
sound	s a ʊ n d
spac	s p æ k
spacefaring	s p e ɪ s f æ ɹ ɪ ŋ
spasmodic	s p æ z m ɑ d ɪ k
spathe	s p e ɪ ð
spean	s p i n
specifier	s p ɛ s ə f a ɪ ɚ
speedboat	s p i d b o ʊ t
spell	s p ɛ l
spelunks	s p ɪ l ʌ ŋ k s
sphenoid	s f i n ɔ ɪ d
spidey	s p a ɪ d i
spilt	s p ɪ l t
spim	s p ɪ m
spinner	s p ɪ n ɚ
spiral	s p a ɪ ɹ ə l
splatter	s p l æ t ɚ
spline	s p l a ɪ n
splinter	s p l ɪ n t ɚ
splunk	s p l ʌ ŋ k
splutter	s p l ʌ t ɚ
spoonerism	s p u n ə ɹ ɪ z ə m
spoony	s p u n i
sporty	s p ɔ ɹ t i
sprayed	s p ɹ e ɪ d
sputcheon	s p ʌ t͡ʃ ə n
sql	ɛ s k j u ɛ l
squarely	s k w ɛ ɹ l i
squdgy	s k w ʌ d͡ʒ i
squishiness	s k w ɪ ʃ i n ə s
stan	s t æ n
starbucks	s t ɑ ɹ b ʌ k s
stared	s t ɛ ɹ d
stationed	s t ɛ ɪ ʃ ə n d
statoid	s t e ɪ t ɔ ɪ d
stave	s t e ɪ v
steal	s t i l
stenoses	s t ɛ n o ʊ s i z
stephanie	s t ɛ f ə n i
stepson	s t ɛ p s ʌ n
sterns	s t ɜ ɹ n z
stethoscope	s t ɛ θ ə s k o ʊ p
stheno	s θ ɛ n o ʊ
stiff	s t ɪ f
stiletto	s t ə l ɛ t o ʊ
stinnett	s t ɪ n ɛ t
stithy	s t ɪ ð i
stockpile	s t ɔ k p a ɪ l
stooge	s t u d͡ʒ
store	s t ɔ ɹ
stork	s t ɔ ɹ k
strain	s t ɹ e ɪ̯ n
strained	s t ɹ e ɪ̯ n d
straitly	s t ɹ e ɪ t l i
strake	s t ɹ e ɪ k
strathspey	s t ɹ æ θ s p e ɪ
strewth	s t ɹ u θ
strigate	s t ɹ ɪ ɡ ə t
strived	s t ɹ a ɪ v d
strommel	s t ɹ ɔ m ə l
stroud	s t ɹ a ʊ d
stroy	s t ɹ ɔ ɪ
strumpet	s t ɹ ʌ m p ɪ t
stum	s t ʌ m
stun	s t ʌ n
stutter	s t ʌ ɾ ɚ
stylize	s t a ɪ l a ɪ z
subdivide	s ʌ b d ɪ v a ɪ d
subjunctive	s ə b d͡ʒ ʌ ŋ k t ɪ v
succedaneum	s ʌ k s ɪ d e ɪ n ɪ ə m
succeeding	s ə k s i d ɪ ŋ
successive	s ə k s ɛ s ɪ v
sucky	s ʌ k i
suds	s ʌ d z
sufentanil	s u f ɛ n t ə n ɪ l
suffer	s ʌ f ɚ
suffragette	s ʌ f ɹ ə d͡ʒ ɛ t
suifenhe	s w e ɪ f ʌ n h ʌ
sulfamethoxazole	s ʌ l f ə m ɛ θ ɑ k s ə z o ʊ l
summon	s ʌ m ə n
summons	s ʌ m ə n z
sunfish	s ʌ n f ɪ ʃ
sunspot	s ʌ n s p ɑ t
superannuate	s u p ə ɹ æ n j u e ɪ t
superficial	s u p ɚ f ɪ ʃ ə l
superflux	s u p ə ɹ f l ʌ k s
superhero	s j u p ə ɹ h ɪ ɹ o ʊ
supes	s u p s
suprasternal	s u p ɹ ə s t ɜ n ə l
surcingle	s ə ɹ s ɪ ŋ ɡ ɫ̩
surround	s ə ɹ a ʊ n d
suss	s ʌ s
swadesh	s w ɑ d ɛ ʃ
swam	s w æ m
sweats	s w ɛ t s
sweet	s w i t
swell	s w ɛ l
swigs	s w ɪ ɡ z
swill	s w ɪ l
switches	s w ɪ t͡ʃ ɪ z
synechia	s ɪ n ɛ k i ə
synomone	s ɪ n ə m o ʊ n
syrphian	s ə ɹ f i ə n
systematize	s ɪ s t ə m ə t a ɪ z
systems	s ɪ s t ə m z
tableau	t æ b l o ʊ
tablet	t æ b l ə t
tabloid	t æ b l ɔ ɪ d
