<|असम|>অংক	ɔ ŋ k ɔ
<|हिंदी|>तरेरना	t̪ ə ɾ eː ɾ n ɑː
<|हिंदी|>तर्ज़	t̪ ə ɾ z
<|हिंदी|>ताक	t̪ ɑː k
<|हिंदी|>तारीफ़	t̪ ɑː ɾ iː f
<|हिंदी|>तुर्क	t̪ ʊ ɾ k
<|हिंदी|>तुर्किस्तान	t̪ ʊ ɾ k ɪ s t̪ ɑː n
<|हिंदी|>तूफ़ान	t̪ uː f ɑː n
<|हिंदी|>तेलंगाना	t̪ eː l ə ŋ ɡ ɑː n ɑː
<|हिंदी|>तैनात	t̪ ɛː n ɑː t̪
<|हिंदी|>तौर	t̪ ɔː ɾ
<|हिंदी|>तौहीन	t̪ ɔː ɦ iː n
<|हिंदी|>त्यागपत्र	t̪ j ɑː ɡ p ə t̪ ɾ
<|हिंदी|>थाना	t̪ʰ ɑː n ɑː
<|हिंदी|>थैला	t̪ʰ ɛː l ɑː
<|हिंदी|>थोक	t̪ʰ oː k
<|हिंदी|>थोपना	t̪ʰ oː p n ɑː
<|हिंदी|>दबाना	d̪ ə b aː n̪ aː
<|हिंदी|>दर्शन	d̪ ə ɾ ʃ ə n
<|हिंदी|>दलाल	d̪ ə l ɑː l
<|हिंदी|>दलील	d̪ ə l iː l
<|हिंदी|>दशहरा	d̪ ə ʃ ɛːʱ ɾ ɑː
<|हिंदी|>दस	d̪ ə s
<|हिंदी|>दही	d̪ ə ɦ iː
<|हिंदी|>दारू	d̪ ɑː ɾ uː
<|हिंदी|>दिखावा	d̪ ɪ kʰ ɑː ʋ ɑː
<|हिंदी|>दिगंबर	d̪ ɪ ɡ ə m b ə ɾ
<|हिंदी|>दिनेश	d̪ ɪ n eː ʃ
<|हिंदी|>दिली	d̪ ɪ l iː
<|हिंदी|>दीदार	d̪ iː d̪ ɑː ɾ
<|हिंदी|>दीनार	d̪ iː n ɑː ɾ
<|हिंदी|>दीपावली	d̪ iː p ɑː ʋ l iː
<|हिंदी|>दीवान	d̪ iː ʋ ɑː n
<|हिंदी|>दुष्ट	d̪ ʊ ʃ ʈ
<|हिंदी|>दूतावास	d̪ uː t̪ ɑː ʋ ɑː s
<|हिंदी|>दूधिया	d̪ uː d̪ʱ ɪ j ɑː
<|हिंदी|>दूरदर्शिता	d̪ uː ɾ d̪ ə ɾ ʃ ɪ t̪ ɑː
<|हिंदी|>दूल्हा	d̪ uː l ɦ ɑː
<|हिंदी|>दे	d̪ eː
<|हिंदी|>देने	d̪ eː n eː
<|हिंदी|>देर	d̪ eː ɾ
<|हिंदी|>देवल	d̪ eː ʋ ə l
<|हिंदी|>धंधा	d̪ʱ ə n d̪ʱ ɑː
<|हिंदी|>धड़कन	d̪ʱ ə ɽ k ə n
<|हिंदी|>धनिया	d̪ʱ ə n iː j ɑː
<|हिंदी|>धन्यवाद	d̪ʱ ə n j ə ʋ ɑː d̪
<|हिंदी|>धब्बा	d̪ʱ ə b b ɑː
<|हिंदी|>धर्मनिरपेक्ष	d̪ʱ ə ɾ m n ɪ ɾ p eː k ʃ
<|हिंदी|>धाकड़	d̪ʱ ɑː k ə ɽ
<|हिंदी|>धूप	d̪ʱ uː p
<|हिंदी|>धूम	d̪ʱ uː m
<|हिंदी|>ध्वज	d̪ʱ ʋ ə d͡ʒ
<|हिंदी|>ध्वस्त	d̪ʱ ʋ ə s t̪
<|हिंदी|>नई	n ə iː
<|हिंदी|>नगर	n ə ɡ ə ɾ
<|हिंदी|>नज़रबंदी	n ə z ə ɾ b ə n d̪ iː
<|हिंदी|>नटखट	n ə ʈ kʰ ə ʈ
<|हिंदी|>नमक	n ə m ə k
<|हिंदी|>नयन	n ə j ə n
<|हिंदी|>नर	n ə ɾ
<|हिंदी|>नर्मदा	n ə ɾ m ə d̪ ɑː
<|हिंदी|>नवंबर	n ə ʋ ə m b ə ɾ
<|हिंदी|>नवजात	n ə ʋ d͡ʒ ɑː t̪
<|हिंदी|>नवीन	n ə ʋ iː n
<|हिंदी|>नस्ल	n ə s l
<|हिंदी|>नस्लभेद	n ə s l bʱ eː d̪
<|हिंदी|>नाइनसाफ़ी	n ɑː ɪ n s ɑː f iː
<|हिंदी|>नाकाम	n ɑː k ɑː m
<|हिंदी|>नामंज़ूर	n ɑː m ə n z uː ɾ
<|हिंदी|>नासिक	n ɑː s ɪ k
<|हिंदी|>निकारागुआ	n ɪ k ɑː ɾ ɑː ɡ ʊ ɑː
<|हिंदी|>निजी	n ɪ d͡ʒ iː
<|हिंदी|>निजीकरण	n ɪ d͡ʒ iː k ə ɾ ə n
<|हिंदी|>निबंध	n ɪ b ə n d̪ʱ
<|हिंदी|>नियमित	n iː j ə m ɪ t̪
<|हिंदी|>निराश	n ɪ ɾ ɑː ʃ
<|हिंदी|>निराशा	n ɪ ɾ ɑː ʃ ɑː
<|हिंदी|>निरीक्षक	n ɪ ɾ iː k ʃ ə k
<|हिंदी|>निरीक्षण	n ɪ ɾ iː k ʃ ə n
<|हिंदी|>निर्मित	n ɪ ɾ m ɪ t̪
<|हिंदी|>निवाला	n ɪ ʋ ɑː l ɑː
<|हिंदी|>निवासी	n ɪ ʋ ɑː s iː
<|हिंदी|>निशान	n ɪ ʃ ɑː n
<|हिंदी|>निष्ठा	n ɪ ʃ ʈʰ ɑː
<|हिंदी|>निस्संदेह	n ɪ s s ə n d̪ eːʱ
<|हिंदी|>नींबू	n iː m b uː
<|हिंदी|>नींव	n ĩː ʋ
<|हिंदी|>नीलाम	n iː l ɑː m
<|हिंदी|>नूर	n uː ɾ
<|हिंदी|>नेता	n eː t̪ ɑː
<|हिंदी|>नेतृत्व	n eː t̪ ɾ ɪ t̪ ʋ
<|हिंदी|>नैन	n ɛː n
<|हिंदी|>नॉर्वे	n ɔː ɾ ʋ eː
<|हिंदी|>नौकर	n ɔː k ə ɾ
<|हिंदी|>न्यास	n j ɑː s
<|हिंदी|>पंचायती	p ə ɲ t͡ʃ ɑː j ə t̪ iː
<|हिंदी|>पंजाब	p ə ɲ d͡ʒ ɑː b
<|हिंदी|>पक्षपातपूर्ण	p ə k ʃ p ɑː t̪ p uː ɾ n
<|हिंदी|>पचहत्तर	p ə t͡ʃʰ ə t̪ t̪ ə ɾ
<|हिंदी|>पचानवे	p ə t͡ʃ ɑː n ʋ eː
<|हिंदी|>पछाड़ना	p ə t͡ʃʰ ɑː ɽ n ɑː
<|हिंदी|>पटेल	p ə ʈ eː l
<|हिंदी|>पढ़ाई	p ə ɽʱ ɑː iː
<|हिंदी|>पत्थर	p ə t̪ t̪ʰ ə ɾ
<|हिंदी|>पदाधिकारी	p ə d̪ ɑː d̪ʱ ɪ k ɑː ɾ iː
<|हिंदी|>पनामा	p ə n ɑː m ɑː
<|हिंदी|>पन्ना	p ə n n ɑː
<|हिंदी|>परिचय	p ə ɾ ɪ t͡ʃ ə j
<|हिंदी|>परिचित	p ə ɾ ɪ t͡ʃ ɪ t̪
<|हिंदी|>परिणाम	p ə ɾ ɪ n ɑː m
<|हिंदी|>परिभाषा	p ə r ɪ bʱ aː ʃ aː
<|हिंदी|>परिषद	p ə ɾ ɪ ʃ ə d̪
<|हिंदी|>परिसंपत्ति	p ə ɾ ɪ s ə m p ə t̪ t̪ iː
<|हिंदी|>परे	p ə ɾ eː
<|हिंदी|>पर्व	p ə ɾ ʋ
<|हिंदी|>पल	p ə l
<|हिंदी|>पलंग	p ə l ə ŋ ɡ
<|हिंदी|>पलीता	p ə l iː t̪ ɑː
<|हिंदी|>पवन	p ə ʋ ə n
<|हिंदी|>पश्चिमी	p ə ʃ t͡ʃ ɪ m iː
<|हिंदी|>पश्मीना	p ə ʃ m iː n ɑː
<|हिंदी|>पसंद	p ə s ə n d̪
<|हिंदी|>पसली	p ə s l iː
<|हिंदी|>पहरेदार	p ɛːʱ ɾ eː d̪ ɑː ɾ
<|हिंदी|>पांच	p ɑː ɲ t͡ʃ
<|हिंदी|>पाक	p ɑː k
<|हिंदी|>पाठक	p ɑː ʈʰ ə k
<|हिंदी|>पादरी	p ɑː d̪ ɾ iː
<|हिंदी|>पाबंदी	p ɑː b ə n d̪ iː
<|हिंदी|>पीना	p iː n̪ ɑː
<|हिंदी|>पीला	p iː l ɑː
<|हिंदी|>पुलिसकर्मी	p ʊ l ɪ s k ə ɾ m iː
<|हिंदी|>पुस्तक	p ʊ s t̪ ə k
<|हिंदी|>पूछ	p uː t͡ʃʰ
<|हिंदी|>पूर्णकालिक	p uː ɾ n ə k ɑː l ɪ k
<|हिंदी|>पेश	p eː ʃ
<|हिंदी|>पेशा	p eː ʃ ɑː
<|हिंदी|>पैदाइश	p ɛː d̪ ɑː ɪ ʃ
<|हिंदी|>पैरोकार	p ɛː ɾ oː k ɑː ɾ
<|हिंदी|>पौंड	p ɔː n ɖ
<|हिंदी|>प्याज़	p j ɑː z
<|हिंदी|>प्यार	p j ɑː ɾ
<|हिंदी|>प्रकाश	p ɾ ə k ɑː ʃ
<|हिंदी|>प्रक्रिया	p ɾ ə k ɾ iː j ɑː
<|हिंदी|>प्रजा	p ɾ ə d͡ʒ ɑː
<|हिंदी|>प्रणाम	p ɾ ə n ɑː m
<|हिंदी|>प्रणाली	p ɾ ə n ɑː l iː
<|हिंदी|>प्रतिबंधित	p ɾ ə t̪ ɪ b ə n d̪ʱ ɪ t̪
<|हिंदी|>प्रतियोगिता	p ɾ ə t̪ iː j oː ɡ ɪ t̪ ɑː
<|हिंदी|>प्रतिरूप	p ɾ ə t̪ ɪ ɾ uː p
<|हिंदी|>प्रतिरोध	p ɾ ə t̪ ɪ ɾ oː d̪ʱ
<|हिंदी|>प्रतीकात्मक	p ɾ ə t̪ iː k ɑː t̪ m ə k
<|हिंदी|>प्रत्यक्षीकरण	p ɾ ə t̪ j ə k ʃ iː k ɾ ə n
<|हिंदी|>प्रबन्ध	p ɾ ə b ə n d̪ʱ
<|हिंदी|>प्रबल	p ɾ ə b ə l
<|हिंदी|>प्रभाव	p ɾ ə bʱ ɑː ʋ
<|हिंदी|>प्रमाण	p ɾ ə m ɑː n
<|हिंदी|>प्रयोगशाला	p ɾ ə j oː ɡ ʃ ɑː l ɑː
<|हिंदी|>प्रस्ताव	p ɾ ə s t̪ ɑː ʋ
<|हिंदी|>प्राण	p ɾ ɑː n
<|हिंदी|>प्रावधान	p ɾ ɑː ʋ d̪ʱ ɑː n
<|हिंदी|>प्रिय	p ɾ ɪ j
<|हिंदी|>प्रेरित	p ɾ eː ɾ ɪ t̪
<|हिंदी|>प्रेस	p ɾ eː s
<|हिंदी|>प्रोत्साहन	p ɾ oː t̪ s ɑː ɦ ə n
<|हिंदी|>फ़रवरी	f ə ɾ ʋ ə ɾ iː
<|हिंदी|>फ़ालतू	f ɑː l t̪ uː
<|हिंदी|>फ़िनलैंड	f ɪ n l ɛː n ɖ
<|हिंदी|>फ़िलहाल	f ɪ l ɦ ɑː l
<|हिंदी|>फ़ेहरिस्त	f eːʱ ɾ ɪ s t̪
<|हिंदी|>फ़ॉर्मूला	f ɔː ɾ m uː l ɑː
<|हिंदी|>फ़्रांसीसी	f ɾ ɑː n s iː s iː
<|हिंदी|>फालतू	pʰ ɑː l t̪ uː
<|हिंदी|>फिटकरी	pʰ ɪ ʈ k ə ɾ iː
<|हिंदी|>फूल	pʰ uː l
<|हिंदी|>बंजर	b ə ɲ d͡ʒ ə ɾ
<|हिंदी|>बंदर	b ə n d̪ ə ɾ
<|हिंदी|>बड़	b ə ɽ
<|हिंदी|>बढ़ना	b ə ɽʱ n ɑː
<|हिंदी|>बदतमीज़	b ə d̪ t̪ ə m iː z
<|हिंदी|>बदल	b ə d̪ ə l
<|हिंदी|>बनाम	b ə n ɑː m
<|हिंदी|>बम्बई	b ə m b ə iː
<|हिंदी|>बयान	b ə j ɑː n
<|हिंदी|>बर्दाश्त	b ə ɾ d̪ ɑː ʃ t̪
<|हिंदी|>बलूच	b ə l uː t͡ʃ
<|हिंदी|>बल्ला	b ə l l ɑː
<|हिंदी|>बल्लेबाज़	b ə l l eː b ɑː z
<|हिंदी|>बस्ती	b ə s t̪ iː
<|हिंदी|>बहू	b ə ɦ uː
<|हिंदी|>बांग्लादेश	b ɑː ŋ ɡ l ɑː d̪ eː ʃ
<|हिंदी|>बाजरा	b ɑː d͡ʒ ɾ ɑː
<|हिंदी|>बाजी	b ɑː d͡ʒ iː
<|हिंदी|>बाद	b ɑː d̪
<|हिंदी|>बादाम	b ɑː d̪ ɑː m
<|हिंदी|>बान	b ɑː n
<|हिंदी|>बाबू	b ɑː b uː
<|हिंदी|>बासमती	b ɑː s ə m t̪ iː
<|हिंदी|>बाह्य	b ɑːʱ j
<|हिंदी|>बिच्छू	b ɪ t͡ʃ t͡ʃʰ uː
<|हिंदी|>बिताना	b ɪ t̪ ɑː n ɑː
<|हिंदी|>बिना	b ɪ n ɑː
<|हिंदी|>बिमारी	b ɪ m ɑː ɾ iː
<|हिंदी|>बिस्तर	b ɪ s t̪ ə ɾ
<|हिंदी|>बीर	b iː ɾ
<|हिंदी|>बुढ़ापा	b ʊ ɽʱ aː p aː
<|हिंदी|>बुलेटिन	b ʊ l eː ʈ ɪ n
<|हिंदी|>बेगुनाह	b eː ɡ ʊ n ɑːʱ
<|हिंदी|>बेचैन	b eː t͡ʃ ɛː n
<|हिंदी|>बेटा	b eː ʈ ɑː
<|हिंदी|>बेलारूस	b eː l ɑː ɾ uː s
<|हिंदी|>बेशक	b eː ʃ ə k
<|हिंदी|>बेसबॉल	b eː s b ɔː l
<|हिंदी|>बैर	b ɛː ɾ
<|हिंदी|>बॉलीवुड	b ɔː l iː ʋ ʊ ɖ
<|हिंदी|>बोट	b oː ʈ
<|हिंदी|>बौना	b ɔː n ɑː
<|हिंदी|>ब्राह्मी	b ɾ ɑːʱ m iː
<|हिंदी|>भगदड़	bʱ ə ɡ d̪ ə ɽ
<|हिंदी|>भटनागर	bʱ ə ʈ n ɑː ɡ ə ɾ
<|हिंदी|>भतीजी	bʱ ə t̪ iː d͡ʒ iː
<|हिंदी|>भय	bʱ ɛː
<|हिंदी|>भरना	bʱ ə ɾ n ɑː
<|हिंदी|>भर्ती	bʱ ə ɾ t̪ iː
<|हिंदी|>भविष्य	bʱ ə ʋ ɪ ʃ j ə
<|हिंदी|>भविष्यवाणी	bʱ ə ʋ ɪ ʃ j ə ʋ ɑː n iː
<|हिंदी|>भांजी	bʱ ɑː ɲ d͡ʒ iː
<|हिंदी|>भाभी	bʱ ɑː bʱ iː
<|हिंदी|>भार	bʱ ɑː ɾ
<|हिंदी|>भावनात्मक	bʱ ɑː ʋ n ɑː t̪ m ə k
<|हिंदी|>भावुक	bʱ ɑː ʋ ʊ k
<|हिंदी|>भूखा	bʱ uː kʰ ɑː
<|हिंदी|>भूचाल	bʱ uː t͡ʃ ɑː l
<|हिंदी|>भूटान	bʱ uː ʈ ɑː n
<|हिंदी|>भूविज्ञान	bʱ uː ʋ ɪ ɡ j ɑː n
<|हिंदी|>भेजा	bʱ eː d͡ʒ ɑː
<|हिंदी|>भेषज	bʱ eː ʃ ə d͡ʒ
<|हिंदी|>भोग	bʱ oː ɡ
<|हिंदी|>भौतिक	bʱ ɔː t̪ ɪ k
<|हिंदी|>भौतिकी	bʱ ɔː t̪ ɪ k iː
<|हिंदी|>भ्रष्ट	bʱ ɾ ə ʃ ʈ
<|हिंदी|>मंज़िल	m ə n z ɪ l
<|हिंदी|>मंज़ूर	m ə n z uː ɾ
<|हिंदी|>मंशा	m ə n ʃ ɑː
<|हिंदी|>मछलीपालन	m ə t͡ʃʰ l iː p ɑː l ə n
<|हिंदी|>मजनू	m ə d͡ʒ n uː
<|हिंदी|>मजनूँ	m ə d͡ʒ n ũː
<|हिंदी|>मज़लूम	m ə z l uː m
<|हिंदी|>मतगणना	m ə t̪ ɡ ə n n ɑː
<|हिंदी|>मतलबी	m ə t̪ l ə b iː
<|हिंदी|>मधुर	m ə d̪ʱ ʊ ɾ
<|हिंदी|>मन्नत	m ə n n ə t̪
<|हिंदी|>मरम्मत	m ə ɾ ə m m ə t̪
<|हिंदी|>मर्दाना	m ə ɾ d̪ ɑː n ɑː
<|हिंदी|>मलेशिया	m ə l eː ʃ iː j ɑː
<|हिंदी|>मशीनीकरण	m ə ʃ iː n iː k ɾ ə n
<|हिंदी|>मसीहा	m ə s iː ɦ ɑː
<|हिंदी|>महँगाई	m ə ɦ ə̃ ɡ ɑː iː
<|हिंदी|>महत्व	m ɛːʱ t̪ ʋ
<|हिंदी|>महत्वाकांक्षा	m ɛːʱ t̪ ʋ ɑː k ɑː ŋ k ʃ ɑː
<|हिंदी|>महान	m ə ɦ ɑː n
<|हिंदी|>महाराजा	m ə ɦ ɑː ɾ ɑː d͡ʒ ɑː
<|हिंदी|>मांस	m ɑː n s
<|हिंदी|>मानवीय	m ɑː n ə ʋ iː j
<|हिंदी|>मामी	m ɑː m iː
<|हिंदी|>मायने	m ɑː j n eː
<|हिंदी|>मार्केट	m ɑː ɾ k eː ʈ
<|हिंदी|>मार्ग	m ɑː ɾ ɡ
<|हिंदी|>मार्गदर्शन	m ɑː ɾ ɡ d̪ ə ɾ ʃ ə n
<|हिंदी|>मालदार	m ɑː l d̪ ɑː ɾ
<|हिंदी|>मास्को	m ɑː s k oː
<|हिंदी|>मियाँ	m iː j ɑ̃ː
<|हिंदी|>मिर्च	m ɪ ɾ t͡ʃ
<|हिंदी|>मिल	m ɪ l
<|हिंदी|>मिलीभगत	m ɪ l iː bʱ ə ɡ ə t̪
<|हिंदी|>मिश्रण	m ɪ ʃ ɾ ə n
<|हिंदी|>मिस्त्री	m ɪ s t̪ ɾ iː
<|हिंदी|>मीडिया	m iː ɖ iː j ɑː
<|हिंदी|>मुँह	m ũːʱ
<|हिंदी|>मुंडन	m ʊ n ɖ ə n
<|हिंदी|>मुग्ध	m ʊ ɡ d̪ʱ
<|हिंदी|>मुजाहिदीन	m ʊ d͡ʒ ɑː ɦ ɪ d̪ iː n
<|हिंदी|>मुठभेड़	m ʊ ʈʰ bʱ eː ɽ
<|हिंदी|>मुरीद	m ʊ ɾ iː d̪
<|हिंदी|>मुसलमान	m ʊ s ə l m ɑː n
<|हिंदी|>मूँग	m ũː ɡ
<|हिंदी|>मूर्धन्य	m uː ɾ d̪ʱ ə n j
<|हिंदी|>मूल्य	m uː l j
<|हिंदी|>मे	m eː
<|हिंदी|>मेक्सिको	m eː k s ɪ k oː
<|हिंदी|>मेघालय	m eː ɡʱ ɑː l ə j
<|हिंदी|>मेमो	m eː m oː
<|हिंदी|>मेवा	m eː ʋ ɑː
<|हिंदी|>मेहनती	m eː ɦ ə n t̪ iː
<|हिंदी|>मैंने	m ɛ̃ː n eː
<|हिंदी|>मॉड्यूल	m ɔː ɖ j uː l
<|हिंदी|>मोर	m oː ɾ
<|हिंदी|>मोल	m oː l
<|हिंदी|>मौखिक	m ɔː kʰ ɪ k
<|हिंदी|>मौन	m ɔː n
<|हिंदी|>मौलवी	m ɔː l ʋ iː
<|हिंदी|>मौला	m ɔː l ɑː
<|हिंदी|>यंत्र	j ə n t̪ ɾ ə
<|हिंदी|>यद्यपि	j ə d̪ j ə p iː
<|हिंदी|>यमुना	j ə m ʊ n ɑː
<|हिंदी|>यरुशलम	j ə ɾ ʊ ʃ ə l ə m
<|हिंदी|>यह	j əʱ
<|हिंदी|>रंग	ɾ ə ŋ ɡ
<|हिंदी|>रंगमंच	ɾ ə ŋ ɡ m ə ɲ t͡ʃ
<|हिंदी|>रंगरूट	ɾ ə ŋ ɡ ɾ uː ʈ
<|हिंदी|>रखना	ɾ ə kʰ n ɑː
<|हिंदी|>रहना	ɾ ɛːʱ n ɑː
<|हिंदी|>रांची	ɾ ɑː ɲ t͡ʃ iː
<|हिंदी|>राजद	ɾ ɑː d͡ʒ ə d̪
<|हिंदी|>राजदूत	ɾ ɑː d͡ʒ d̪ uː t̪
<|हिंदी|>राजवंश	ɾ ɑː d͡ʒ ʋ ə n ʃ
<|हिंदी|>राजस्थानी	ɾ ɑː d͡ʒ ə s t̪ʰ ɑː n iː
<|हिंदी|>रानी	ɾ ɑː n iː
<|हिंदी|>रामल्लाह	ɾ ɑː m ə l l ɑːʱ
<|हिंदी|>रार	ɾ ɑː ɾ
<|हिंदी|>रिपोर्टर	ɾ ɪ p oː ɾ ʈ ə ɾ
<|हिंदी|>रियासत	ɾ iː j ɑː s ə t̪
<|हिंदी|>रिश्ता	ɾ ɪ ʃ t̪ ɑː
<|हिंदी|>रीता	ɾ iː t̪ ɑː
<|हिंदी|>रुझान	ɾ ʊ d͡ʒʱ ɑː n
<|हिंदी|>रूपरेखा	ɾ uː p ɾ eː kʰ ɑː
<|हिंदी|>रूस	ɾ uː s
<|हिंदी|>रोक	ɾ oː k
<|हिंदी|>रोड	ɾ oː ɖ
<|हिंदी|>रोमानिया	ɾ oː m ɑː n iː j ɑː
<|हिंदी|>लंदन	l ə n d̪ ə n
<|हिंदी|>लंबू	l ə m b uː
<|हिंदी|>लगान	l ə ɡ ɑː n
<|हिंदी|>लड़ाकू	l ə ɽ ɑː k uː
<|हिंदी|>लश्कर	l ə ʃ k ə ɾ
<|हिंदी|>लहरा	l ɛːʱ ɾ ɑː
<|हिंदी|>लाइसेंस	l ɑː ɪ s eː n s
<|हिंदी|>लागू	l ɑː ɡ uː
<|हिंदी|>लाजवाब	l ɑː d͡ʒ ə ʋ ɑː b
<|हिंदी|>लाट	l ɑː ʈ
<|हिंदी|>लापरवाह	l ɑː p ə ɾ ʋ ɑːʱ
<|हिंदी|>लालच	l ɑː l ə t͡ʃ
<|हिंदी|>लालायित	l ɑː l ɑː j ɪ t̪
<|हिंदी|>लिखने	l ɪ kʰ n eː
<|हिंदी|>लिवरपूल	l ɪ ʋ ə ɾ p uː l
<|हिंदी|>लेखन	l eː kʰ ə n
<|हिंदी|>लेखा	l eː kʰ ɑː
<|हिंदी|>लोगो	l oː ɡ oː
<|हिंदी|>लोगों	l oː ɡ õː
<|हिंदी|>लौ	l ɔː
<|हिंदी|>वंशवाद	ʋ ə n ʃ ʋ ɑː d̪
<|हिंदी|>वकालत	ʋ ə k ɑː l ə t̪
<|हिंदी|>वतन	ʋ ə t̪ ə n
<|हिंदी|>वन्य	ʋ ə n j
<|हिंदी|>वर्णमाला	ʋ ə ɾ n m ɑː l ɑː
<|हिंदी|>वर्षा	ʋ ə ɾ ʃ ɑː
<|हिंदी|>वसंत	ʋ ə s ə n t̪
<|हिंदी|>वहीं	ʋ ə ɦ ĩː
<|हिंदी|>वातानुकूलित	ʋ ɑː t̪ ɑː n ʊ k uː l ɪ t̪
<|हिंदी|>वापसी	ʋ ɑː p s iː
<|हिंदी|>वापिस	ʋ ɑː p ɪ s
<|हिंदी|>वाहक	ʋ ɑː ɦ ə k
<|हिंदी|>विक्रय	ʋ ɪ k ɾ ə j
<|हिंदी|>वितरण	ʋ ɪ t̪ ɾ ə n
<|हिंदी|>वित्तीय	ʋ ɪ t̪ t̪ iː j
<|हिंदी|>विद्या	ʋ ɪ d̪ j ɑː
<|हिंदी|>विधवा	ʋ ɪ d̪ʱ ʋ ɑː
<|हिंदी|>विधेयक	ʋ ɪ d̪ʱ eː j ə k
<|हिंदी|>विराजमान	ʋ ɪ ɾ ɑː d͡ʒ m ɑː n
<|हिंदी|>विलास	ʋ ɪ l ɑː s
<|हिंदी|>विलीन	ʋ ɪ l iː n
<|हिंदी|>विश्वप्रसिद्ध	ʋ ɪ ʃ ʋ ə p ɾ ə s ɪ d̪ d̪ʱ
<|हिंदी|>विश्वासपात्र	ʋ ɪ ʃ ʋ ɑː s p ɑː t̪ ɾ
<|हिंदी|>विस्फोटक	ʋ ɪ s pʰ oː ʈ ə k
<|हिंदी|>वेदांत	ʋ eː d̪ ɑː n t̪
<|हिंदी|>वैदिक	ʋ ɛː d̪ ɪ k
<|हिंदी|>वैद्य	ʋ ɛː d̪ j
<|हिंदी|>वो	ʋ oː
<|हिंदी|>व्यंजक	ʋ j ə ɲ d͡ʒ ə k
<|हिंदी|>व्याख्याता	ʋ j ɑː kʰ j ɑː t̪ ɑː
<|हिंदी|>व्लादिमीर	ʋ l ɑː d̪ ɪ m iː ɾ
<|हिंदी|>व्लादिवोस्तोक	ʋ l ɑː d̪ ɪ ʋ oː s t̪ oː k
<|हिंदी|>शतक	ʃ ə t̪ ə k
<|हिंदी|>शर्मनाक	ʃ ə ɾ m n ɑː k
<|हिंदी|>शान	ʃ ɑː n
<|हिंदी|>शान्ति	ʃ ɑː n t̪ iː
<|हिंदी|>शामिल	ʃ ɑː m ɪ l
<|हिंदी|>शावक	ʃ ɑː ʋ ə k
<|हिंदी|>शाश्वत	ʃ ɑː ʃ ʋ ə t̪
<|हिंदी|>शिकार	ʃ ɪ k ɑː ɾ
<|हिंदी|>शिखर	ʃ ɪ kʰ ə ɾ
<|हिंदी|>शिविर	ʃ ɪ ʋ ɪ ɾ
<|हिंदी|>शीशा	ʃ iː ʃ ɑː
<|हिंदी|>शुरुआती	ʃ ʊ ɾ ʊ ɑː t̪ iː
<|हिंदी|>शुरू	ʃ ʊ ɾ uː
<|हिंदी|>शून्य	ʃ uː n j ə
<|हिंदी|>शृंखला	ʃ ɾ ɪ ŋ kʰ l ɑː
<|हिंदी|>शैली	ʃ ɛː l iː
<|हिंदी|>शोर	ʃ oː ɾ
<|हिंदी|>शोला	ʃ oː l ɑː
<|हिंदी|>श्रीफल	ʃ ɾ iː pʰ ə l
<|हिंदी|>श्रीलंका	ʃ ɾ iː l ə ŋ k ɑː
<|हिंदी|>श्रेणी	ʃ ɾ eː n iː
<|हिंदी|>संकेत	s ə ŋ k eː t̪
<|हिंदी|>संख्या	s ə ŋ kʰ j ɑː
<|हिंदी|>संग	s ə ŋ ɡ
<|हिंदी|>संगीत	s ə ŋ ɡ iː t̪
<|हिंदी|>संदिग्ध	s ə n d̪ ɪ ɡ d̪ʱ
<|हिंदी|>संदेह	s ə n d̪ eːʱ
<|हिंदी|>संपर्क	s ə m p ə ɾ k
<|हिंदी|>संप्रभुता	s ə m p ɾ ə bʱ ʊ t̪ ɑː
<|हिंदी|>संबंध	s ə m b ə n d̪ʱ
<|हिंदी|>संबोधित	s ə m b oː d̪ʱ ɪ t̪
<|हिंदी|>संभव	s ə̃ m bʱ ə ʋ
<|हिंदी|>संभोग	s ə m bʱ oː ɡ
<|हिंदी|>संयम	s ə̃ j ə m
<|हिंदी|>संयोजक	s ə̃ j oː d͡ʒ ə k
<|हिंदी|>संशोधन	s ə n ʃ oː d̪ʱ ə n
<|हिंदी|>सकता	s ə k t̪ ɑː
<|हिंदी|>सघन	s ə ɡʱ ə n
<|हिंदी|>सड़क	s ə ɽ ə k
<|हिंदी|>सतह	s ə t̪ əʱ
<|हिंदी|>सत्तर	s ə t̪ t̪ ə ɾ
<|हिंदी|>सत्य	s ə t̪ j
<|हिंदी|>सदन	s ə d̪ ə n
<|हिंदी|>सम	s ə m
<|हिंदी|>समतल	s ə m t̪ ə l
<|हिंदी|>समय	s ə m ə j
<|हिंदी|>समर्थन	s ə m ə ɾ t̪ʰ ə n
<|हिंदी|>समाचार	s ə m ɑː t͡ʃ ɑː ɾ
<|हिंदी|>समीक्षा	s ə m iː k ʃ ɑː
<|हिंदी|>समेटना	s ə m eː ʈ n ɑː
<|हिंदी|>समेत	s ə m eː t̪
<|हिंदी|>सम्पादक	s ə m p ɑː d̪ ə k
<|हिंदी|>सम्मेलन	s ə m m eː l ə n
<|हिंदी|>सर	s ə ɾ
<|हिंदी|>सरपंच	s ə ɾ p ə ɲ t͡ʃ
<|हिंदी|>सरल	s ə ɾ ə l
<|हिंदी|>सराहना	s ə ɾ ɑːʱ n ɑː
<|हिंदी|>सर्किल	s ə ɾ k ɪ l
<|हिंदी|>सर्ब	s ə ɾ b
